#,Title,Authors,Year,Journal,DOI,Tier,Citations,Open Access,Abstract
1,MP47-17 DEEP LEARNING MODELS TO PREDICT PSYCHOMOTOR ERRORS USING RAW KINEMATIC DATA FROM VIRTUAL REALITY SIMULATOR,Andrew Hung; Jessica Nguyen Aastha; Yan Liu,2020,The Journal of Urology,10.1097/ju.0000000000000902.017,tier2,2,Yes,"You have accessJournal of UrologySurgical Technology & Simulation: Training & Skills Assessment II (MP47)1 Apr 2020MP47-17 DEEP LEARNING MODELS TO PREDICT PSYCHOMOTOR ERRORS USING RAW KINEMATIC DATA FROM VIRTUAL REALITY SIMULATOR Andrew Hung*, Aastha, Jessica Nguyen, and Yan Liu Andrew Hung*Andrew Hung* More articles by this author , Aastha, Jessica NguyenAastha, Jessica Nguyen More articles by this author , and Yan LiuYan Liu More articles by this author View All Author Informationhttps://doi.o"
2,Perspectives on COVID-19 from Singapore: Impact on ESKD Care and Medical Education,Thomas M. Coffman; Choong Meng Chan; Lina Hui‐Lin Choong; Ian Curran; Hak Koon Tan et al.,2020,Journal of the American Society of Nephrology,10.1681/asn.2020050721,tier3,9,Yes,"Singapore is a nation state in Southeast Asia with a population of approximately 5.7 million on an island of 278.6 square miles located just below peninsular West Malaysia. A major global transportation hub with >68 million travelers passing through its airport in 2019,1 Singapore is a popular tourist destination and busy commercial port. Hence, it is vulnerable to the introduction of pandemic infectious diseases. Singapore’s commitment and approach to epidemic preparedness were shaped by its se"
3,Artificial Intelligence and Robotics in Regional Anaesthesia: Do they have a role?,Εleni Μoka; James Bowness; M Mckendrick; S Yang; G Mcleod et al.,2021,Signa Vitae,10.22514/sv.2021.192,tier2,4,Yes,"“I expect it [Artificial Intelligence - AI] to play a foundational role in pretty much every aspect of our lives” Sundar Pichai, CEO Google, 2021 We are living in the fourth industrial revolution, characterised by the dominance of computers and technological advances including artificial intelligence (AI) and robotics [1]. Such developments are likely to have a profound impact on humanity, reforming our work environment and daily life. Artificial intelligence refers to the simulation of human in"
4,"Telemedicine, telementoring, and telesurgery for surgical practices.",Man Li Jin; Meghan M Brown; Dhir Patwa; Aravindh Nirmalan; Paul A. Edwards,2021,Current problems in surgery,10.1016/j.cpsurg.2021.100986,tier3,43,No,"In Brief Over the past decades, rapid advancements in computer technology, robotics, and telecommunications have enabled novel improvements in medical training and the expansion of the technological tools available to physicians The ever-growing telecommunications network makes medical information instantaneously accessible for both the doctor and the patient, allowing many aspects of medicine to overcome the restrictions of geography Telemedicine has proven useful in improving accessibility to "
5,A Hybrid Surgical Simulator for Interactive Endoscopic Training.,Do Yeon Kim; Xiangzhou Tan; Dandan Li; Mehmet Yilmaz; Arkadiusz Miernik et al.,2022,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engine,10.1109/embc48229.2022.9871697,tier2,0,No,"Endoscopy serves as an indispensable minimally-invasive surgical procedure. Due to the limited view and non-intuitive operation of the instrument, the mastery of endoscopic manipulation requires deep medical knowledge as well as complex perception and motor skills of the surgeon. Intensive surgical training is required, and simulation-based training is of more and more importance over traditional animal- or cadaver-based approaches. Here, we developed a hybrid surgical simulator that consists of"
6,Effect of Immersive Virtual Reality on Post-Baccalaureate Nursing Students' In-Dwelling Urinary Catheter Skill and Learning Satisfaction.,Chang CL,2022,,10.3390/healthcare10081473,tier2,11,Yes,"A fundamental skill required from nursing students is how to manage the insertion of in-dwelling urinary catheters, and this skill is a core competency for nurses. However, practice with conventional test models is insufficient for learning this skill and leads to inadequate proficiency among students. To address this problem, this study created an immersive virtual reality (IVR) scheme, based on the theory of situated learning, to simulate clinical situations. Innovative approaches were adopted"
7,Training in robotic pancreatic surgery,,2022,Artificial Intelligence Surgery,10.20517/ais.2022.28,tier2,2,No,The aim of this narrative review is to discuss current training for the robotic approach to pancreatic surgery and the potential use of machine learning to progress robotic surgical training. A literature search using PubMed and MEDLINE was conducted to investigate training programmes in robotic pancreatic surgery and advances in the use of artificial intelligence for training. The use of virtual reality can assist novice robotic surgeons in learning basic surgical skills. The use of automated v
8,A Medical Image Visualization Technique Assisted with AI-Based Haptic Feedback for Robotic Surgery and Healthcare,Γεώργιος Μινόπουλος; Vasileios A. Memos; Konstantinos D. Stergiou; Christos Stergiou; Kostas E. Psannis,2023,Applied Sciences,10.3390/app13063592,tier2,49,Yes,"A lesson learned during the pandemic is that social distancing saves lives. As it was shown recently, the healthcare industry is structured in a way that cannot protect medical staff from possible infectious diseases, such as COVID-19. Today’s healthcare services seem anachronistic and not convenient for both doctors and patients. Although there have been several advances in recent years, especially in developed countries, the need for a holistic change is imperative. Evidently, future technolog"
9,Artificial Intelligence in Surgical Training for Kidney Cancer: A Systematic Review of the Literature,Natali Rodriguez Peñaranda; Ahmed Eissa; Stefania Ferretti; Giampaolo Bianchi; Stefano Di Bari et al.,2023,Diagnostics,10.3390/diagnostics13193070,tier2,20,Yes,"The prevalence of renal cell carcinoma (RCC) is increasing due to advanced imaging techniques. Surgical resection is the standard treatment, involving complex radical and partial nephrectomy procedures that demand extensive training and planning. Furthermore, artificial intelligence (AI) can potentially aid the training process in the field of kidney cancer. This review explores how artificial intelligence (AI) can create a framework for kidney cancer surgery to address training difficulties. Fo"
10,Artificial intelligence in anesthesiology,Freja Gheysen; Steffen Rex,2023,Acta Anaesthesiologica Belgica,10.56126/75.3.21,tier2,3,Yes,"Artificial intelligence (AI) is rapidly evolving and gaining attention in the medical world. Our aim is to provide readers with insights into this quickly changing medical landscape and the role of clinicians in the middle of this popular technology. In this review, our aim is to explain some of the increasingly frequently used AI terminology explicitly for physicians. Next, we give a summation, an overview of currently existing applications, future possibilities for AI in the medical field of a"
