#,Title,Authors,Year,Journal,DOI,Tier,Source
1,A Case Study for a Big Data and Machine Learning Platform to Improve Medical Decision Support in Population Health Management,Fernando Martínez; Edward Rolando Núñez‐Valdéz; Vicente García‐Díaz; Zoran Bursac,2020,Algorithms,10.3390/a13040102,tier1,openalex
2,"A Novel Smart Healthcare Design, Simulation, and Implementation Using Healthcare 4.0 Processes",Adarsh Kumar; Rajalakshmi Krishnamurthi; Anand Nayyar; Kriti Sharma; Vinay Grover et al.,2020,IEEE Access,10.1109/access.2020.3004790,tier2,openalex
3,A novel specific artificial intelligence-based method to identify COVID-19 cases using simple blood exams,Felipe Soares,2020,,10.1101/2020.04.10.20061036,tier1,openalex
4,"A posthuman ecology of simulated human patients: Eidolons, empathy and fidelity in the uncanny embodiment of nursing practice",Aileen Ireland,2020,Explorations in Media Ecology,10.1386/eme_00048_1,tier3,openalex
5,A systematic review of the applications of artificial intelligence and machine learning in autoimmune diseases,Imogen S. Stafford; Melina Kellermann; Enrico Mossotto; R Mark Beattie; Ben D. MacArthur et al.,2020,npj Digital Medicine,10.1038/s41746-020-0229-3,tier2,openalex
6,A vision of the use of technology in medical education after the COVID-19 pandemic,Poh Sun Goh; John Sandars,2020,MedEdPublish,10.15694/mep.2020.000049.1,tier3,openalex
7,A “Third Wheel” Effect in Health Decision Making Involving Artificial Entities: A Psychological Perspective,Stefano Triberti; Ilaria Durosini; Gabriella Pravettoni,2020,Frontiers in Public Health,10.3389/fpubh.2020.00117,tier3,openalex
8,"AI, autonomous machines and human awareness: Towards shared machine-human contexts in medicine",D. D. Miller; E. A. Wood,2020,,10.1016/b978-0-12-820543-3.00010-9,tier3,semantic_scholar
9,ARTIFICIAL INTELLIGENCE AS A CATALYST FOR EDUCATION 5.0,A. Khan,2020,,10.25215/125711994x.03,tier3,openalex
10,All India Ophthalmological Society: Stance on COVID-19 pandemic,Namrata Sharma; MahipalS Sachdev,2020,Indian Journal of Ophthalmology,10.4103/ijo.ijo_1887_20,tier2,openalex
