integration_schema_version,final_version_family_id,family_size,preferred_record_key,preferred_paper_id,preferred_source_corpus,preferred_basis,preferred_selection_rationale,preferred_selection_evidence,family_reviewed_by,family_reviewed_at_utc,source_family_review_row_sha256
scopus-final-integration-corrected-v2.0,SIVF-00123179eefc9ad346ee331e,1,base_eligible_v4:4781da10664bc6a33ebc,4781da10664bc6a33ebc,base_eligible_v4,only_eligible_version,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.3390/nursrep15080280,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,7a097e8e77b36c5eedbaf888eca7c8e3c6a13e18c463f815dd811b6b26afb007
scopus-final-integration-corrected-v2.0,SIVF-00b1f99b8081b998d1fce8d7,1,base_eligible_v4:859f96f4eca259cdb9e8,859f96f4eca259cdb9e8,base_eligible_v4,only_eligible_version,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.1109/scisisis61014.2024.10759962,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,e55660b5ef7133793ccf48de939d2a308edb42be252efaaf6f5372dda881be97
scopus-final-integration-corrected-v2.0,SIVF-00d6f99dc2c78840848ad88f,1,base_eligible_v4:64947cabbe7282713c10,64947cabbe7282713c10,base_eligible_v4,only_eligible_version,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.1007/s00296-024-05731-0,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,ff32e91e99cca7425538314964dfde769e726c5eb934138d988a48b6c497b732
scopus-final-integration-corrected-v2.0,SIVF-00fc9f1db114d45f03344a43,1,base_eligible_v4:e82a026a5524b0d4f0d3,e82a026a5524b0d4f0d3,base_eligible_v4,only_eligible_version,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.1016/j.nepr.2025.104541,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,bd007e57e7e74399e6325283ea3ad90d0541d82a01d858d22580929323e63103
scopus-final-integration-corrected-v2.0,SIVF-01e2c940a88af90461e6e213,1,base_eligible_v4:eb6afac746ee34d7a37f,eb6afac746ee34d7a37f,base_eligible_v4,only_eligible_version,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.70102/afts.2026.1835.482,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,ba8c43fea7914598fe7202a616ac31793b119386a411a41c3c619c90bda2c0c1
scopus-final-integration-corrected-v2.0,SIVF-02403b57baa5628862cca04a,1,base_eligible_v4:116dd099707d378fb9a6,116dd099707d378fb9a6,base_eligible_v4,only_eligible_version,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.1186/s41077-026-00429-8,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,105c4ff5fbcd89f8dfbf1aa936da89ca6b290130a0e96229df85b2685019c598
scopus-final-integration-corrected-v2.0,SIVF-030ae81c5f9e9031d4758f67,1,base_eligible_v4:9d0e015a74d4a026b092,9d0e015a74d4a026b092,base_eligible_v4,only_eligible_version,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.3946/kjme.2025.151,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,ac4d108126948df6d61ef1d42df2abeeb3e339ada08b4ba9cb0b80ae3cf8f9db
scopus-final-integration-corrected-v2.0,SIVF-0369ae316c6d998b64e3c477,1,base_eligible_v4:47160b043b610b447eca,47160b043b610b447eca,base_eligible_v4,only_eligible_version,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.3390/electronics14051028,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,df9a01ab08efdcbeb3fb60c2efa38944db9d6371f0c5ec8543e76c4635e9053b
scopus-final-integration-corrected-v2.0,SIVF-03b5cfd720cb3cd12507aef0,1,base_eligible_v4:9aeba4bdaf161dff8c40,9aeba4bdaf161dff8c40,base_eligible_v4,only_eligible_version,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.48550/arxiv.2404.19713,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,1f148269568373b91a008fce7c295768a80efae8d4fc6c416b132a9a99886bad
scopus-final-integration-corrected-v2.0,SIVF-03c5c16ab54fab9a40527809,2,base_eligible_v4:01a746b554d461cb998c,01a746b554d461cb998c,base_eligible_v4,final_most_complete_publication,The peer-reviewed journal article is the final and most complete eligible publication and is preferred over its preprint.,https://doi.org/10.2196/59213,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,b29dab9ebc899c70e911cd6a8e1fcf686d075e3567184929ac2d7fed7f527609
scopus-final-integration-corrected-v2.0,SIVF-0436655111eb6095e22f91da,1,base_eligible_v4:2a63460a75ff944e1d44,2a63460a75ff944e1d44,base_eligible_v4,only_eligible_version,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.7759/cureus.87591,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,f46f96bbe4a11fcca55a99785fed882b35b11dd15bb87822698b1eebb098eda6
scopus-final-integration-corrected-v2.0,SIVF-05390bd70aa03b797fe69951,1,base_eligible_v4:4c4dc7fcefb1e9f3abdf,4c4dc7fcefb1e9f3abdf,base_eligible_v4,only_eligible_version,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.1002/jdd.13479,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,d0145df6afc4c540b11c10afc61011563ef47f433474932423793c8abda14118
scopus-final-integration-corrected-v2.0,SIVF-059f671f2ecebc218b8e8a90,1,base_eligible_v4:98459bc57c099322761c,98459bc57c099322761c,base_eligible_v4,only_eligible_version,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.1177/23733799261429490,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,5952857143401c776f07c37e36d1cba0b86e12ce2a193951c2fff1d990d6e6fd
scopus-final-integration-corrected-v2.0,SIVF-05f15a4af203031a997fc3e7,1,base_eligible_v4:e5b4ed028b3c0ea2eeec,e5b4ed028b3c0ea2eeec,base_eligible_v4,only_eligible_version,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.64898/2026.02.10.26345990,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,ef9eda73a3dad163a11654705379466ae86168c469b1af76793c3bda7269197f
scopus-final-integration-corrected-v2.0,SIVF-064fc1ae0686254e209e08d9,1,scopus_increment:sci_b283d7022275d4ea7f72,sci_b283d7022275d4ea7f72,scopus_increment,only_eligible_version,"This is the only eligible publication version confirmed for this scholarly work, so it is retained for analysis.",https://doi.org/10.3761/j.issn.1672-9234.2026.02.004,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,191cf5437f184d6bbd682e5808b02c41d770ef6aa916331506fb5bcc594e43b4
scopus-final-integration-corrected-v2.0,SIVF-072141922ea38175a2bb18e3,1,base_eligible_v4:6fb769efa53620e383b7,6fb769efa53620e383b7,base_eligible_v4,only_eligible_version,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.52206/jsmc.2025.15.2.997,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,2deaa7ad38d4e31c9c078c3444193bd000acf1eb7617a0aca96b0a3c6e97cddf
scopus-final-integration-corrected-v2.0,SIVF-07fb28a46217eb2bc1dcf7e4,1,base_eligible_v4:34ea437817489bccb36b,34ea437817489bccb36b,base_eligible_v4,only_eligible_version,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.7759/cureus.109161,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,bd9543e953312c148e88d0f3703e60f1daea90078eca9e0d0279bacad014e561
scopus-final-integration-corrected-v2.0,SIVF-08287c434eb8e8269b0b2c81,1,base_eligible_v4:b53bf33d223a68f17e8c,b53bf33d223a68f17e8c,base_eligible_v4,only_eligible_version,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.1590/0100-6991e-20233605-en,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,eededae9d03a8880bd979e2db0c601229ee8a8251780a56ca7356e29a8dea474
scopus-final-integration-corrected-v2.0,SIVF-087f909e56d069807e574f81,1,base_eligible_v4:0b386fbba1d6908a565d,0b386fbba1d6908a565d,base_eligible_v4,only_eligible_version,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.1515/gme-2024-0025,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z,4e0826a2acdb9c47a06e4732c77ec2c8a973f1a011b0d98410a638d31b78c4d9
