integration_schema_version,record_key,source_corpus,source_record_id,doi,openalex_id,year,publication_date,record_type,url,source_row_sha256,provisional_family_id,family_size,family_members_sha256,family_status,version_role,preferred_for_analysis,preferred_record_key,preferred_basis,relationship_to_preferred,family_membership_rationale,family_evidence_locator,preferred_selection_rationale,preferred_selection_evidence,reviewed_by,reviewed_at_utc
scopus-final-integration-corrected-v2.0,base_eligible_v4:4781da10664bc6a33ebc,base_eligible_v4,4781da10664bc6a33ebc,10.3390/nursrep15080280,,2025,2025-07-31,"JournalArticle, Review",https://doi.org/10.3390/nursrep15080280,e983651933010f21838f48e369fb69e9cbe0eed19827053a48df6ae0edcc5a62,SIVF-00123179eefc9ad346ee331e,1,00123179eefc9ad346ee331e0274b305f47d321da33d338ae08aaad499ba4aa8,SINGLETON_WORK,standalone_publication,yes,base_eligible_v4:4781da10664bc6a33ebc,only_eligible_version,self_preferred,Systematic all-record review found no retained candidate-pair link or bibliographic evidence of another eligible version in this assignment; this record is treated as one standalone scholarly work.,https://doi.org/10.3390/nursrep15080280,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.3390/nursrep15080280,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z
scopus-final-integration-corrected-v2.0,base_eligible_v4:859f96f4eca259cdb9e8,base_eligible_v4,859f96f4eca259cdb9e8,10.1109/scisisis61014.2024.10759962,,2024,2024-11-09,"JournalArticle, Conference",https://doi.org/10.1109/scisisis61014.2024.10759962,5d70963c239b728d0582c02f0c0e5de997ef75723224c240a177658406ee816a,SIVF-00b1f99b8081b998d1fce8d7,1,00b1f99b8081b998d1fce8d79ca4ff8b5b07884c6227f5e012e0cf6a5af54aa8,SINGLETON_WORK,conference_full_paper,yes,base_eligible_v4:859f96f4eca259cdb9e8,only_eligible_version,self_preferred,Systematic all-record review found no retained candidate-pair link or bibliographic evidence of another eligible version in this assignment; this record is treated as one standalone scholarly work.,https://doi.org/10.1109/scisisis61014.2024.10759962,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.1109/scisisis61014.2024.10759962,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z
scopus-final-integration-corrected-v2.0,base_eligible_v4:64947cabbe7282713c10,base_eligible_v4,64947cabbe7282713c10,10.1007/s00296-024-05731-0,,2024,2024-10-16,JournalArticle,https://doi.org/10.1007/s00296-024-05731-0,143f2a573831192fb9cc255e3ee017b25994a3e5c93ffdaba97a8be116027cb5,SIVF-00d6f99dc2c78840848ad88f,1,00d6f99dc2c78840848ad88f4133692c13837eb88066b1cb4de0bac1f219dff2,SINGLETON_WORK,standalone_publication,yes,base_eligible_v4:64947cabbe7282713c10,only_eligible_version,self_preferred,Systematic all-record review found no retained candidate-pair link or bibliographic evidence of another eligible version in this assignment; this record is treated as one standalone scholarly work.,https://doi.org/10.1007/s00296-024-05731-0,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.1007/s00296-024-05731-0,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z
scopus-final-integration-corrected-v2.0,base_eligible_v4:e82a026a5524b0d4f0d3,base_eligible_v4,e82a026a5524b0d4f0d3,10.1016/j.nepr.2025.104541,,2025,2025-08-31,Journal Article,https://doi.org/10.1016/j.nepr.2025.104541,5f543dc33e1d86c11ec03bb3cc25efa2f229731ec87c7fedb8b50b5db8db9460,SIVF-00fc9f1db114d45f03344a43,1,00fc9f1db114d45f03344a43b3a46dc7c4525c8f8a38a68b10f6cc95ed22110a,SINGLETON_WORK,standalone_publication,yes,base_eligible_v4:e82a026a5524b0d4f0d3,only_eligible_version,self_preferred,"Systematic title, author, date, DOI and abstract comparison across all assigned eligible records found no second report of the same scholarly work.",https://doi.org/10.1016/j.nepr.2025.104541,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.1016/j.nepr.2025.104541,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z
scopus-final-integration-corrected-v2.0,base_eligible_v4:eb6afac746ee34d7a37f,base_eligible_v4,eb6afac746ee34d7a37f,10.70102/afts.2026.1835.482,,2026,2026-05-29,JournalArticle,https://doi.org/10.70102/afts.2026.1835.482,64d2060bec18cbb45906d2689335880b26e40bde19ad69f7c448fdc6105f68b5,SIVF-01e2c940a88af90461e6e213,1,01e2c940a88af90461e6e2133c9e1bd88a6c4e1361645501669cc27e1a57e52b,SINGLETON_WORK,standalone_publication,yes,base_eligible_v4:eb6afac746ee34d7a37f,only_eligible_version,self_preferred,"Systematic title, author, date, DOI and abstract comparison across all assigned eligible records found no second report of the same scholarly work.",https://doi.org/10.70102/afts.2026.1835.482,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.70102/afts.2026.1835.482,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z
scopus-final-integration-corrected-v2.0,base_eligible_v4:116dd099707d378fb9a6,base_eligible_v4,116dd099707d378fb9a6,10.1186/s41077-026-00429-8,,2026,2026-03,article,https://doi.org/10.1186/s41077-026-00429-8,f06eca81c60cec8f76d954afe6ae6b04025b32641ee675d7d35f5d3a731a894c,SIVF-02403b57baa5628862cca04a,1,02403b57baa5628862cca04ac338adb73d49e63ba24559db0253340a54ab2e92,SINGLETON_WORK,standalone_publication,yes,base_eligible_v4:116dd099707d378fb9a6,only_eligible_version,self_preferred,"Systematic title, author, date, DOI and abstract comparison across all assigned eligible records found no second report of the same scholarly work.",https://doi.org/10.1186/s41077-026-00429-8,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.1186/s41077-026-00429-8,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z
scopus-final-integration-corrected-v2.0,base_eligible_v4:9d0e015a74d4a026b092,base_eligible_v4,9d0e015a74d4a026b092,10.3946/kjme.2025.151,,2026,2026-03-20,article,https://doi.org/10.3946/kjme.2025.151,a2f1f530f2b54a4aec9f13ede30c95f0bd19a49642b9cd88af3d0e941990ac41,SIVF-030ae81c5f9e9031d4758f67,1,030ae81c5f9e9031d4758f670f3e95972ff3a50cba6b6be795d192214b066f67,SINGLETON_WORK,standalone_publication,yes,base_eligible_v4:9d0e015a74d4a026b092,only_eligible_version,self_preferred,Systematic all-record review found no retained candidate-pair link or bibliographic evidence of another eligible version in this assignment; this record is treated as one standalone scholarly work.,https://doi.org/10.3946/kjme.2025.151,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.3946/kjme.2025.151,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z
scopus-final-integration-corrected-v2.0,base_eligible_v4:47160b043b610b447eca,base_eligible_v4,47160b043b610b447eca,10.3390/electronics14051028,,2025,2025-03-05,JournalArticle,https://doi.org/10.3390/electronics14051028,b0292881909c7e8264b4daa9998d7e4b58afa13d964617c769a77bd13cbcf0e5,SIVF-0369ae316c6d998b64e3c477,1,0369ae316c6d998b64e3c477b2fbde2e412f68c9ea622b802068eaf7cd601d64,SINGLETON_WORK,standalone_publication,yes,base_eligible_v4:47160b043b610b447eca,only_eligible_version,self_preferred,"Systematic title, author, date, DOI and abstract comparison across all assigned eligible records found no second report of the same scholarly work.",https://doi.org/10.3390/electronics14051028,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.3390/electronics14051028,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z
scopus-final-integration-corrected-v2.0,base_eligible_v4:9aeba4bdaf161dff8c40,base_eligible_v4,9aeba4bdaf161dff8c40,10.48550/arxiv.2404.19713,,2024,2024-04-30,JournalArticle,https://doi.org/10.48550/arxiv.2404.19713,bd09853b073549f5520a7b092352d6f9b78aa159ae8165949e07524f24b1f3a1,SIVF-03b5cfd720cb3cd12507aef0,1,03b5cfd720cb3cd12507aef04c87ed8f232fef99be2b896d175ae0adfa339b34,SINGLETON_WORK,standalone_publication,yes,base_eligible_v4:9aeba4bdaf161dff8c40,only_eligible_version,self_preferred,"Systematic title, author, date, DOI and abstract comparison across all assigned eligible records found no second report of the same scholarly work.",https://doi.org/10.48550/arxiv.2404.19713,"This is the only eligible version identified for this scholarly work, so it is retained for analysis.",https://doi.org/10.48550/arxiv.2404.19713,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z
scopus-final-integration-corrected-v2.0,base_eligible_v4:01a746b554d461cb998c,base_eligible_v4,01a746b554d461cb998c,10.2196/59213,,2024,2024-08-16,Journal Article,https://doi.org/10.2196/59213,c2f7396425fbfa0e58b10faa28fb309a6ca7b31014a41a969fdcc36dc249f129,SIVF-03c5c16ab54fab9a40527809,2,03c5c16ab54fab9a40527809d088c24793bc18e22747816365d7f37d35e16196,LINKED_VERSION_FAMILY,final_journal_article,yes,base_eligible_v4:01a746b554d461cb998c,final_most_complete_publication,self_preferred,"The linked records have overlapping authors and report the same research question, design, intervention, and findings; identifiers and content establish preprint and final journal versions of one work.",https://doi.org/10.2196/59213,The peer-reviewed journal article is the final and most complete eligible publication and is preferred over its preprint.,https://doi.org/10.2196/59213,GPT-5.6 Sol version reviewer,2026-08-16T22:25:35Z
