section,measure,category,count,denominator,percent,value,value_text,unit,denominator_definition,response_type,work_ids,note
Model-review confusion matrix,three-choice,Reviewer A: EXCLUDE | Reviewer B: EXCLUDE,2895,3919,73.9,,,candidate records,all candidate records before resolution,paired model-review decision cell,,Model-review consistency only.
Model-review confusion matrix,three-choice,Reviewer A: EXCLUDE | Reviewer B: INCLUDE,20,3919,0.5,,,candidate records,all candidate records before resolution,paired model-review decision cell,,Model-review consistency only.
Model-review confusion matrix,three-choice,Reviewer A: EXCLUDE | Reviewer B: UNCERTAIN,37,3919,0.9,,,candidate records,all candidate records before resolution,paired model-review decision cell,,Model-review consistency only.
Model-review confusion matrix,three-choice,Reviewer A: INCLUDE | Reviewer B: EXCLUDE,457,3919,11.7,,,candidate records,all candidate records before resolution,paired model-review decision cell,,Model-review consistency only.
Model-review confusion matrix,three-choice,Reviewer A: INCLUDE | Reviewer B: INCLUDE,463,3919,11.8,,,candidate records,all candidate records before resolution,paired model-review decision cell,,Model-review consistency only.
Model-review confusion matrix,three-choice,Reviewer A: INCLUDE | Reviewer B: UNCERTAIN,14,3919,0.4,,,candidate records,all candidate records before resolution,paired model-review decision cell,,Model-review consistency only.
Model-review confusion matrix,three-choice,Reviewer A: UNCERTAIN | Reviewer B: EXCLUDE,13,3919,0.3,,,candidate records,all candidate records before resolution,paired model-review decision cell,,Model-review consistency only.
Model-review confusion matrix,three-choice,Reviewer A: UNCERTAIN | Reviewer B: INCLUDE,10,3919,0.3,,,candidate records,all candidate records before resolution,paired model-review decision cell,,Model-review consistency only.
Model-review confusion matrix,three-choice,Reviewer A: UNCERTAIN | Reviewer B: UNCERTAIN,10,3919,0.3,,,candidate records,all candidate records before resolution,paired model-review decision cell,,Model-review consistency only.
Model-review confusion matrix,binary include versus non-include,Reviewer A: NON INCLUDE | Reviewer B: NON INCLUDE,2955,3919,75.4,,,candidate records,all candidate records before resolution,paired model-review decision cell,,Model-review consistency only.
Model-review confusion matrix,binary include versus non-include,Reviewer A: NON INCLUDE | Reviewer B: INCLUDE,30,3919,0.8,,,candidate records,all candidate records before resolution,paired model-review decision cell,,Model-review consistency only.
Model-review confusion matrix,binary include versus non-include,Reviewer A: INCLUDE | Reviewer B: NON INCLUDE,471,3919,12.0,,,candidate records,all candidate records before resolution,paired model-review decision cell,,Model-review consistency only.
Model-review confusion matrix,binary include versus non-include,Reviewer A: INCLUDE | Reviewer B: INCLUDE,463,3919,11.8,,,candidate records,all candidate records before resolution,paired model-review decision cell,,Model-review consistency only.
