section,measure,category,count,denominator,percent,value,value_text,unit,denominator_definition,response_type,work_ids,note
Selection flow,Retrieval occurrence by source,OpenAlex,2910,9719,29.9,,,source/query retrieval occurrences,all six-source retrieval occurrences before the Scopus cutoff check,single response by discovery source,,Counts precede cross-source deduplication; Scopus post-cutoff results are shown separately.
Selection flow,Retrieval occurrence by source,PubMed,722,9719,7.4,,,source/query retrieval occurrences,all six-source retrieval occurrences before the Scopus cutoff check,single response by discovery source,,Counts precede cross-source deduplication; Scopus post-cutoff results are shown separately.
Selection flow,Retrieval occurrence by source,Europe PMC,578,9719,5.9,,,source/query retrieval occurrences,all six-source retrieval occurrences before the Scopus cutoff check,single response by discovery source,,Counts precede cross-source deduplication; Scopus post-cutoff results are shown separately.
Selection flow,Retrieval occurrence by source,Semantic Scholar,2037,9719,21.0,,,source/query retrieval occurrences,all six-source retrieval occurrences before the Scopus cutoff check,single response by discovery source,,Counts precede cross-source deduplication; Scopus post-cutoff results are shown separately.
Selection flow,Retrieval occurrence by source,DOAJ,468,9719,4.8,,,source/query retrieval occurrences,all six-source retrieval occurrences before the Scopus cutoff check,single response by discovery source,,Counts precede cross-source deduplication; Scopus post-cutoff results are shown separately.
Selection flow,Retrieval occurrence by source,Scopus,3004,9719,30.9,,,source/query retrieval occurrences,all six-source retrieval occurrences before the Scopus cutoff check,single response by discovery source,,Counts precede cross-source deduplication; Scopus post-cutoff results are shown separately.
Selection flow,Stage count,Retrieval occurrences,9719,not applicable,,,,stage-specific records or works,all six-source query occurrences before date and duplicate handling,stage-specific count; side checks are not serial losses,,The unit and relationship to the main flow are stated explicitly.
Selection flow,Stage count,Scopus results after the cutoff,150,not applicable,,,,stage-specific records or works,Scopus occurrences published after 13 August 2026 and removed before matching,stage-specific count; side checks are not serial losses,,The unit and relationship to the main flow are stated explicitly.
Selection flow,Stage count,Primary-source results before or after the date window,8,not applicable,,,,stage-specific records or works,"date flags found in the five-source retrieval; these records continued to duplicate handling and candidate screening, where the final date rule was applied",stage-specific count; side checks are not serial losses,,The unit and relationship to the main flow are stated explicitly.
Selection flow,Stage count,Primary-source results with an unknown or unresolved date,17,not applicable,,,,stage-specific records or works,date flags found in the five-source retrieval; these records continued to duplicate handling and candidate screening so that uncertain dates were not discarded automatically,stage-specific count; side checks are not serial losses,,The unit and relationship to the main flow are stated explicitly.
