section,measure,category,count,denominator,percent,value,value_text,unit,denominator_definition,response_type,work_ids,note
Author productivity,Canonical work count,Dennis Shung,5,477,1.0,,openalex:https://openalex.org/a5078143266,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,302dee907e926e18ddba;3b0e82db448631888b4c;68306d2649f0e34ccfa7;c6db1164aeacaa778bd4;ea8e0a7c38a125bf8f1d,OpenAlex author ID
Author productivity,Canonical work count,Gabriel Skantze,5,477,1.0,,openalex:https://openalex.org/a5091225228,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,538dc624d4f06d86f6a2;64947cabbe7282713c10;aedb9561df16d70a7ef8;db6b016a13edb570269a;ed80b78f8297d945224d,OpenAlex author ID
Author productivity,Canonical work count,Ioannis Parodis,5,477,1.0,,openalex:https://openalex.org/a5086543859,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,538dc624d4f06d86f6a2;64947cabbe7282713c10;aedb9561df16d70a7ef8;db6b016a13edb570269a;ed80b78f8297d945224d,OpenAlex author ID
Author productivity,Canonical work count,René F. Kizilcec,5,477,1.0,,openalex:https://openalex.org/a5071778778,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,302dee907e926e18ddba;3b0e82db448631888b4c;68306d2649f0e34ccfa7;c6db1164aeacaa778bd4;ea8e0a7c38a125bf8f1d,OpenAlex author ID
Author productivity,Canonical work count,Alexander Borg,4,477,0.8,,openalex:https://openalex.org/a5066450516,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,538dc624d4f06d86f6a2;64947cabbe7282713c10;aedb9561df16d70a7ef8;db6b016a13edb570269a,OpenAlex author ID
Author productivity,Canonical work count,Andrew R. Jamieson,4,477,0.8,,openalex:https://openalex.org/a5069788317,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,296fc2ba93325a6b3ed0;44090e715310ee158f37;67e2860b474712736027;9b5ff9099d241db5f86a,OpenAlex author ID
Author productivity,Canonical work count,Anne Herrmann‐Werner,4,477,0.8,,openalex:https://openalex.org/a5103141182,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,01a746b554d461cb998c;0de698b6ef36192c9365;282aa7d3820de53059e9;cfa4cceea1f21315935e,OpenAlex author ID
Author productivity,Canonical work count,Benjamin Jobs,4,477,0.8,,openalex:https://openalex.org/a5114284965,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,64947cabbe7282713c10;aedb9561df16d70a7ef8;db6b016a13edb570269a;ed80b78f8297d945224d,OpenAlex author ID
Author productivity,Canonical work count,Carina Georg,4,477,0.8,,openalex:https://openalex.org/a5033346412,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,64947cabbe7282713c10;aedb9561df16d70a7ef8;db6b016a13edb570269a;ed80b78f8297d945224d,OpenAlex author ID
Author productivity,Canonical work count,Christian Stegemann–Philipps,4,477,0.8,,openalex:https://openalex.org/a5013438977,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,01a746b554d461cb998c;0de698b6ef36192c9365;282aa7d3820de53059e9;cfa4cceea1f21315935e,OpenAlex author ID
Author productivity,Canonical work count,Colleen Chan,4,477,0.8,,openalex:https://openalex.org/a5028993377,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,3b0e82db448631888b4c;68306d2649f0e34ccfa7;c6db1164aeacaa778bd4;ea8e0a7c38a125bf8f1d,OpenAlex author ID
Author productivity,Canonical work count,Dragan Gašević,4,477,0.8,,openalex:https://openalex.org/a5036855560,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,26de74e3debea64ac297;43f6ad0fa6f4597d56fc;44d09fb5dabfde2e9e31;d11ce96adb05741aef6d,OpenAlex author ID
Author productivity,Canonical work count,Friederike Holderried,4,477,0.8,,openalex:https://openalex.org/a5015077369,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,01a746b554d461cb998c;0de698b6ef36192c9365;282aa7d3820de53059e9;cfa4cceea1f21315935e,OpenAlex author ID
Author productivity,Canonical work count,Ji-Hwan Kim,4,477,0.8,,openalex:https://openalex.org/a5100451537,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,15b1e2fee67db58575b7;64d8153970a657aa23b0;e5814fecd144cc3fe016;ed072d60d05f5e236143,OpenAlex author ID
Author productivity,Canonical work count,Mini Ruiz,4,477,0.8,,openalex:https://openalex.org/a5050184941,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,64947cabbe7282713c10;aedb9561df16d70a7ef8;db6b016a13edb570269a;ed80b78f8297d945224d,OpenAlex author ID
Author productivity,Canonical work count,Niroop Rajashekar,4,477,0.8,,openalex:https://openalex.org/a5000593514,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,3b0e82db448631888b4c;68306d2649f0e34ccfa7;c6db1164aeacaa778bd4;ea8e0a7c38a125bf8f1d,OpenAlex author ID
Author productivity,Canonical work count,Samuel Edelbring,4,477,0.8,,openalex:https://openalex.org/a5080221569,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,64947cabbe7282713c10;aedb9561df16d70a7ef8;db6b016a13edb570269a;ed80b78f8297d945224d,OpenAlex author ID
Author productivity,Canonical work count,Thomas O. Dalton,4,477,0.8,,openalex:https://openalex.org/a5048215627,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,296fc2ba93325a6b3ed0;44090e715310ee158f37;67e2860b474712736027;9b5ff9099d241db5f86a,OpenAlex author ID
Author productivity,Canonical work count,Viking Huss,4,477,0.8,,openalex:https://openalex.org/a5054318092,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,64947cabbe7282713c10;aedb9561df16d70a7ef8;db6b016a13edb570269a;ed80b78f8297d945224d,OpenAlex author ID
Author productivity,Canonical work count,Yuval Haber,4,477,0.8,,openalex:https://openalex.org/a5093025114,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,73f1b1dee9a19c0ea0af;bd0527af9d9859ca54bb;be9dea9f8b093b59c0c4;d06c6ad96bb08eb739dc,OpenAlex author ID
Author productivity,Canonical work count,Zohar Elyoseph,4,477,0.8,,openalex:https://openalex.org/a5028706339,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,bd0527af9d9859ca54bb;be9dea9f8b093b59c0c4;d06c6ad96bb08eb739dc;e4a287ed511b7be9baa5,OpenAlex author ID
Author productivity,Canonical work count,Aidin Spina,3,477,0.6,,openalex:https://openalex.org/a5092165604,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,2dd7865e84af395616af;38300507331b97225df5;c2a9bbee811cd29891e3,OpenAlex author ID
Author productivity,Canonical work count,Ambrose H. Wong,3,477,0.6,,openalex:https://openalex.org/a5015055208,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,3b0e82db448631888b4c;c6db1164aeacaa778bd4;ea8e0a7c38a125bf8f1d,OpenAlex author ID
Author productivity,Canonical work count,Ameer Hamza Shakur,3,477,0.6,,openalex:https://openalex.org/a5023574893,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,296fc2ba93325a6b3ed0;44090e715310ee158f37;67e2860b474712736027,OpenAlex author ID
Author productivity,Canonical work count,Brenda Ofelia Jay-Jímenez,3,477,0.6,,openalex:https://openalex.org/a5118898351,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,59ac00c951a84da39213;7f84c902e862e25dbf2c;98c23d01b9fb23bd43c4,OpenAlex author ID
Author productivity,Canonical work count,Chang-Eop Kim,3,477,0.6,,openalex:https://openalex.org/a5051262833,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,15b1e2fee67db58575b7;64d8153970a657aa23b0;ed072d60d05f5e236143,OpenAlex author ID
Author productivity,Canonical work count,Cidem Gentline,3,477,0.6,,openalex:https://openalex.org/a5064571890,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,64947cabbe7282713c10;db6b016a13edb570269a;ed80b78f8297d945224d,OpenAlex author ID
Author productivity,Canonical work count,Daniel J. Scott,3,477,0.6,,openalex:https://openalex.org/a5103840801,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,44090e715310ee158f37;67e2860b474712736027;9b5ff9099d241db5f86a,OpenAlex author ID
Author productivity,Canonical work count,David Hein,3,477,0.6,,openalex:https://openalex.org/a5090356242,authorship-covered canonical works,canonical works with usable structured OpenAlex authorship,multiple response; one count per unique author per work,296fc2ba93325a6b3ed0;44090e715310ee158f37;67e2860b474712736027,OpenAlex author ID
