section,measure,category,count,denominator,percent,value,value_text,unit,denominator_definition,response_type,work_ids,note
Exact-identifier metadata sensitivity,Cohort coverage,Exact DOI or OpenAlex-ID match,472,485,97.3,,,unique studies,all unique studies in the primary corpus,metadata sensitivity cohort coverage,0038624c09ec9fe46395;00b1591b551023fc549f;00dc13a955ae4496d4ca;01a746b554d461cb998c;03345c1deb2aad29820e;035291e867ecf965f467;038dc9e15385ce662149;0394426a6c4e7afe938e;039798e4f1498c17cf82;03dcc8a1b078476d19e0;03e1a6632b830e0512c9;04b48ce4dda567febfa2;061a5c17950367156401;06baad752a52246f7f43;07d462beafe4d21ba016;0835d7fde9c090ca963c;088f42aecd2674d3dbe5;08cc34de5385d0bd76a6;096c409373966ea99821;0a25081e59bfa2406a89;0a2c09d04e10e0478041;0a56637c161743569cf5;0aad164402f8e4deea3b;0aea8997b3d07a3c7455;0b1b0febb2293831bcc0;0b1e929029c5b43c5beb;0b386fbba1d6908a565d;0c75f057197182777687;0de698b6ef36192c9365;0fe5747ae7b23830be21;107a276748b6c98a2e50;1131dfab50144331e92a;1158803af3fb0ab9c072;116dd099707d378fb9a6;11f31f18ad70545cab85;12a5244797e0de4599d0;14a6c8b99daf76e8179d;14e96fc7b4c3181fd39b;1557e783fc8af1e8fdd6;155acc9f21eba7b06b56;1563f87491d1ce4d02fb;15b1e2fee67db58575b7;166aa3cc368ebd076b91;180163049fadb98a0ef8;18f9eaf414ec69e25aad;197361cc9246160f71a5;19e84bd61f0782eec51c;1a1d7801effe1e2b850a;1a8a9f25ccdf589f88f6;1b087547ad0e2e8a3fa3;1b913a0ed3ab13c6f644;1c073acedd6171c3394d;1c5402a057ba8f451244;1c9542cefba3287a5281;1d69e819d76b702e955f;1df5cdc0b4ba5e34b2ba;1f1c780e93f8833f8015;20e73ed62a3078e6a9b4;217a1796806e392c3e77;235688621e9d66593a40;2366390c9f679e2c90b7;240393927e83854aac9b;243562012607f7033171;24c93ac0955292251f20;24ffbec5a9dbce04e0fd;25591cbc3c2b21cbfbdf;25f6a5df250f3ed0360b;2610ebe5f560db94c888;26de74e3debea64ac297;272439595ff3b96c35f3;27940ac9615817e019e3;282aa7d3820de53059e9;2877ad2c6a928639280a;296fc2ba93325a6b3ed0;2972cffe675ec25e930c;2a63460a75ff944e1d44;2befb2019a25a1ea563f;2c33e3b00e199776ba05;2dd7865e84af395616af;2f08c4b2b3acc1eaa9d5;302dee907e926e18ddba;30b04ea7e17c283383c8;319d5b791f54df181b23;31f58d5793ca1ef590ea;327767a02786d8ff7a19;328dc44eb7208308940c;32b43fcb025a9d77581f;32c1dcd0212f833ee125;33fa7a94d105663796d8;34ab5ecef79b768723f6;34ea437817489bccb36b;3592795dfee0e066000a;359e1289e1f098bb36e2;35ffd2cef7df5e4ea7fc;36878122d89a1f0ba51c;37a099d4d3aa15cafaa9;37bb0c4c182653ebb8f9;38300507331b97225df5;38da855b4155bb083590;3a2d4841832fea8715fe;3a5aebe14250eec39412;3a87ecbc1ceea37e2382;3aba8ba7976a49acd0ac;3adc77e0b0502fcefcc3;3b0e82db448631888b4c;3bb7eee2436c25920c9e;3cc4d65478e63af8ab6e;3d4ea70252a23ce4cd2f;3e3d7476a0d0198a12a3;3e6c586541bbab277f12;401238697481e3dbe32e;412046e11296d150c70a;415ba4f99eeb473a50c2;416753b67d9e900455c8;4252b0b43599d37a154a;425ec6ee2ca714b7434a;4301913b143d4dcf67c6;432422a165ddc6a24c2f;434224fa76b1280311a5;437f09a0c472e4ba343e;43800694173ba371af4f;43f6ad0fa6f4597d56fc;44090e715310ee158f37;44d09fb5dabfde2e9e31;45e7ea1fbbde53125fd7;47160b043b610b447eca;4781da10664bc6a33ebc;4823a4ac11c66c68a7d4;48a55d4cf5cff922481f;48e2ce8734d9d1acb602;49a3c3f5df637d33e854;49bb4b3f2e5c7a1a3f92;4a9222af3af0a24b98ba;4b471ab893f0c3845025;4b5e1bc310423d1d0555;4b7753ecc7bff0d54289;4bae43896a7e20da2e4b;4c10642623772d392b58;4c4dc7fcefb1e9f3abdf;4c580842a4d610a72e9d;4cac4c9f22b3d59d56dd;4dcbdf4bf0f5a9a6c8c8;4eabef99b9ccb8ef8fd4;4ef0a8247384321e8b47;4f06f0d72a1de087b5c5;4f796e0ce90dce8d4da8;4fdab8147c5288a598e6;4fed0ae03cd7415c40f4;4ff984fed8d71f9ad381;501d19c3bd3160083e8a;50ac103890932b40242c;50e4613efeaaadc861f8;5116aab375eedc896bfd;5245cf325337d81e78ff;538dc624d4f06d86f6a2;539c65e906ee41f3eabf;53e73c84997817856e1f;548ca816901c7761f0bf;54972cda535948a803e8;55c688efa556cdf3a77e;56dc16bbc7cd98ca993a;581dc0790951c1557bba;582bc7c400fa7acf214f;58483951ebaed609e26a;588316012a3f2d9b790a;58a5647e55ff3ae5746e;592d3957693502aad933;593c7da1de5e9f26b59d;594824ec9813877abe34;594d7ce86781a2e8398f;5966d1a884499670acf2;598901438bbefd691625;59ac00c951a84da39213;5a18de075da6eacf874c;5aa2066f4c78fde5a50b;5aeb6b891099b95aa832;5b356113a239c62ba5ac;5b529e4bc562ac2c093e;5b995fc6546cbe610568;5c99d6be17d81210020f;5d6128771afb1cccb251;5da1c6c1e35204ff7f9d;5dd47cd1855294dcfafd;5e70fc602d28beb4158b;5e9d52b66e4686a38781;60653c070afcf8848788;60f8f44c77f909f61dc3;614d439112e6f1ccea50;633dafafd7b2de3e7ad0;63c69a200d415bc42d9b;643ef34d4dd326d5b164;6457c6be7c6ba150ede6;64947cabbe7282713c10;64a85483f87115653128;64caff9ef7b3adaafe2d;64d8153970a657aa23b0;654de90417901825feeb;668b98624eeda1089d99;669cbda7d16ac3f32155;67e2860b474712736027;681bba8e632d1614f426;68306d2649f0e34ccfa7;69f44a30a1f5c09b5e41;6a18d985481870e99d72;6ab002878664147423a1;6ad5ba253eb6dea25a47;6af91184365b35a93de5;6cf6dbf3648bde45720a;6d3fca2519e927f795b8;6d60da2f964efcc60587;6d85b580a0562cc121d4;6e06ede93e94c8f8e15c;6e7213516f82875618ff;6f1527fb10827ca1da01;6fb769efa53620e383b7;6fdf974a01dd27215f86;70cb1e0a134b7f41b447;713e417da7d85579b2d1;71a491a468f6c4c71249;72c30900482428bf1e49;72f2fcd3a833c8b6e39e;73a1f91733c91359d5f0;73cb9769cd2180a04bb0;73f1b1dee9a19c0ea0af;740cc1ae550411dacecc;7442954006aac8fa63fa;7571d4d2871565bc5c1c;758d651bc8d5020199f1;76597dc445d9df2ae743;766d498375e7ceff4c70;766fde2e997ea8140bd0;76a6c8049ee4223224f6;7713a8c3085fddc6419c;7791c8951d81b4aa0b71;78868accc1f86fb42dce;78b358c1b1f53fdbc100;7920ebcf271025a5a8ee;79301031755b16db8fe6;7a269bae27b9f603ddda;7a5ffafc98c031b3684e;7a9ca4d4d16f4705139f;7ab76d429b6539b40243;7acd89712f3fc0bb4cb7;7b627eb0e17b77a07c57;7bda59402c9478eda64c;7d5cb710e5a6901bbaaa;7f735724143207af94c1;7f84c902e862e25dbf2c;7f98755e27ed54f044ae;7fc0513f51b7c61dad31;8094cb5448e9c4e2f371;80e9a9d9f964aea305e9;81087c9bc5a7366ff084;81337a44aeb46520e3ec;81e99943a71c35f1b5e2;843a6b1f2c79c1bd4273;859f96f4eca259cdb9e8;8616afb3ca85007ec9d7;862592293f46ff109fb6;86d7e55b4cfd49b202f0;86f76ce0ac18d03915b2;87dd3b9b5e7ef2d3f457;886368e8c3c194de3abd;891bdc5ee1f3d07f820a;894f08a5035b3a1872d5;8a18fabf9cf9be3f8a36;8a1c6e7038c447a20568;8ad0258644c0c312a7d8;8bece1a102e2fe87b74e;8ce5650fcd50af3976ab;8db4130844dc8d367d1f;8f2528d2ba0e05485210;8fa1ae6b843e2388520d;8fce68134f06065fdd4a;902be756a877af6118c0;9053eb63f4358c343310;906c1e2afc9ab8dc6794;907d492e03a26ae110b8;91738aa3fb8146efb96d;9287cf74b213e44a489d;94bb63aeb68eddb59442;94dc4442e5bc1f047433;94ed3a0dbe4657397dc4;9717d5f24495686aabe2;98459bc57c099322761c;987d3b654bc3d24dc464;98c23d01b9fb23bd43c4;9aeba4bdaf161dff8c40;9b5ff9099d241db5f86a;9b778c91d64124298579;9b8b66d55c35b17e843c;9ba2ceb3ea808e2794a1;9d0e015a74d4a026b092;9d1c14070287793c215b;9d44b976cb2c076751e8;9eabda9ff317373c18d3;9eb3b25f5e4e48cdcb6a;a03df064164f1b54d1d5;a2883a095e505041a802;a2fb845a99fa4f6e080c;a32c2fb665f05ef6086f;a3991fd1e09daca82f29;a44cf2193e8756673fa7;a4d746b41f7f88ceb127;a4f6e4afd67cbf667f95;a9588de788e2402350be;aa05a5932f8ebb716574;ab784e3f29bfc7622997;abda3007be07a5153c0c;ac37bfba546f78614410;adc1485c258278b24c4e;adf94a39c16c36a40d45;ae74530d7e9fa7f91f65;aea68236a77645892d74;aedb9561df16d70a7ef8;af881e87f70fad542887;af9edf1f4c2a0c11a5eb;afa9fe102dc8ed9bfaff;afc8c786ca5b65ba8c74;b052274076e5e7cc16db;b191e9f77e079eab9ed3;b216d2e3bbb753147fd2;b2f1db675b2599e354ab;b36e071a220a2c96e7c2;b3a8d73bf08119c4ce68;b3e39792f96130f4a0b4;b4ed643f7430dbf0ccb9;b4fa4675ffa2674da6e1;b53bf33d223a68f17e8c;b608f772e32f2dbbff5e;b6f4bfb66f82ba008b32;b75fad8b8777d2f878b6;b777355095979479280c;b924bd45d30abb49831e;b94b9bcb1d96d93db9c0;ba402925b430558ae1e0;ba93136b38c9a66d059f;bad1f4fb855554cb4aba;bb3a5362f067d65fc98d;bc52d7f8f145e43beefc;bc5dd5d7b1ad1b4d21e4;bd0527af9d9859ca54bb;bd2cdf16f21f3814f67d;bda47b5b58b47ca77285;be9dea9f8b093b59c0c4;beedb370b817079634f7;c13d5a010789f6f44c11;c2a9bbee811cd29891e3;c2d6c7abc598aacc0368;c301ce506b01b01e6207;c4f5fe90704c2aa68c75;c58a4682ca46d2e66e96;c6788113fb3c0b6f7bcf;c6db1164aeacaa778bd4;c837d77a482b4e089619;c8c9e4c672bea3a6d994;c98aa2499bea62fd3f2a;c9defba9bce13454aa5f;caf55d1c5f0358791a96;cb97375c66ea36d11d94;cc3c546075dc11e58802;ce47d43f097c456cdf45;cfa4cceea1f21315935e;d02cfb250e397dd52db5;d06c6ad96bb08eb739dc;d0ead936020ec24f78a7;d11ce96adb05741aef6d;d290e5bf22b00e731795;d2f64f874b70a189b145;d3f99e099b9310de57e3;d46506f34cc784478c88;d644a8da3cdeae0603e0;d6b29e9cea0c868cc28e;d7a2412d7fe5f7bee1e5;d885762caf8919afe125;d90096afc3b383fbecb7;d977c356ff57ab060fef;da4715a1835405ea02b7;da8839d00c24db7f6ad6;da920e8320da57a1954a;db6b016a13edb570269a;db80308782a219cbea0e;dcce0a8cef5543c4fec4;de583e684ddd0364a161;dec5b56924e40c32e506;df4adbef2a265890959e;df5127c0b752274d452e;df606ccebb857fa9a592;df6dd96b9ea594a121ce;e2272dd53f2ee764e3a8;e28e63bbe4974bda0026;e2a36443154e9a33aff9;e359eafa6af6abbb467d;e3ee954b5290b4f74f0b;e4987ba5c8f46735e9ff;e4a287ed511b7be9baa5;e4caff2128dfb4f4ac0c;e5304eeb960c6393b03a;e5814fecd144cc3fe016;e5b4ed028b3c0ea2eeec;e5e611fc18a4d66128d9;e7357cbd0c17edcf1ae4;e73b99fafd0009a6e927;e82a026a5524b0d4f0d3;e9d6ceded269a04cde99;ea35181a48e801132195;ea8e0a7c38a125bf8f1d;ead3628c23fe3e244e24;eb0a6b505c3ccc9e534d;eb664530dc232a9e1750;eb6afac746ee34d7a37f;eb6ba637fab26b824344;eb8b75c75edacbfa547b;ebc2ea10b1b751d8e58c;ec6081495209898a9c42;ed072d60d05f5e236143;ed23e4c8ee00516d2110;ed38fd3a7de3cb77f8a6;ed80b78f8297d945224d;eeb5a3afa4e8b1c2635c;eee52e824f1559f7759a;ef046f239f256df5f180;f1b256cdccd6208d0cc8;f2454b259920b1b1d032;f2be4ac5256845407914;f30eee8f6354bfa06744;f31767356a0db5360a3d;f41f37dbb22b9ed8ae7c;f4631b37b9a1fd57d914;f4d7fdee2c3cc083329d;f54e36609097c96e8b6d;f5c57c1a6cc5d054fcac;f5e8d39c518465a0d255;f68a92632e9b465b9cd8;f6df2d018d41c258414a;f74b171e97e291bab8d3;f917e0b66cef158b9df0;f97eadc969f29dc262e7;f9c1bb8b50eb65edbf84;fa24b39d9c9c2f6142d6;fb4436cacb550c46d347;fbcfe4a5c41e518e74ba;fc535dce265384650ae6;fcd1902a5e565b2d2fcc;fd0c4ec164cda596074b;fd1a9c7f0b28a609f8af;ff3b7f48f6f586cf90b7;ffe994fbb4a27b100f16;sci_0deb435b497fb81c6d22;sci_0f0b074ee785f63a5645;sci_1b84a9e2391f6779175c;sci_300870bf7109221baf28;sci_333316fb42bc0b910010;sci_3d6777cb059403330506;sci_454fe3ad37947557e9a6;sci_479872e4f60f538cbd03;sci_49f3e83303945c5d95da;sci_6140618886946efd3455;sci_637ee1f73b6fd5027d1c;sci_66be3ed42b9293d2ff9f;sci_6840c15b05b568f05153;sci_7924be52acf88877d8df;sci_829c4bcf5b773dba44a2;sci_9353c3c154cbf1cd3c54;sci_93a452609f10d60e9d33;sci_a8f02e0b2a448efff5e6;sci_a90d053bc1db526acda9;sci_aea73a0d6d3e592a48a0;sci_b852c26f48dfbf482b84;sci_d54eaf2ee85c6160a060;sci_f2cc5417df9af41a5165;sci_f57abde71790ef1bc83d,Title-search matches and confirmed unmatched records are excluded only from this sensitivity view.
Exact-identifier metadata sensitivity: publication sources,Source frequency,arXiv (Cornell University),17,472,3.6,,,unique studies,studies with an exact DOI or OpenAlex-ID match,single response; mutually exclusive normalized publication source,04b48ce4dda567febfa2;0de698b6ef36192c9365;1d69e819d76b702e955f;217a1796806e392c3e77;235688621e9d66593a40;3a5aebe14250eec39412;3b0e82db448631888b4c;44090e715310ee158f37;4823a4ac11c66c68a7d4;76a6c8049ee4223224f6;8fce68134f06065fdd4a;9aeba4bdaf161dff8c40;9b8b66d55c35b17e843c;d644a8da3cdeae0603e0;d885762caf8919afe125;de583e684ddd0364a161;df6dd96b9ea594a121ce,Normalization key: openalex:https://openalex.org/s4306400194.
Exact-identifier metadata sensitivity: publication sources,Source frequency,BMC Medical Education,22,472,4.7,,,unique studies,studies with an exact DOI or OpenAlex-ID match,single response; mutually exclusive normalized publication source,07d462beafe4d21ba016;0a56637c161743569cf5;0aad164402f8e4deea3b;14a6c8b99daf76e8179d;3592795dfee0e066000a;412046e11296d150c70a;4b7753ecc7bff0d54289;4cac4c9f22b3d59d56dd;548ca816901c7761f0bf;594824ec9813877abe34;594d7ce86781a2e8398f;5c99d6be17d81210020f;5e70fc602d28beb4158b;64caff9ef7b3adaafe2d;668b98624eeda1089d99;81087c9bc5a7366ff084;94dc4442e5bc1f047433;c2d6c7abc598aacc0368;df606ccebb857fa9a592;ed072d60d05f5e236143;f2454b259920b1b1d032;f41f37dbb22b9ed8ae7c,Normalization key: openalex:https://openalex.org/s144187503.
Exact-identifier metadata sensitivity: publication sources,Source frequency,JMIR Medical Education,22,472,4.7,,,unique studies,studies with an exact DOI or OpenAlex-ID match,single response; mutually exclusive normalized publication source,01a746b554d461cb998c;088f42aecd2674d3dbe5;18f9eaf414ec69e25aad;240393927e83854aac9b;282aa7d3820de53059e9;2befb2019a25a1ea563f;37bb0c4c182653ebb8f9;38300507331b97225df5;63c69a200d415bc42d9b;6d60da2f964efcc60587;71a491a468f6c4c71249;76597dc445d9df2ae743;7a9ca4d4d16f4705139f;7bda59402c9478eda64c;8fa1ae6b843e2388520d;a4f6e4afd67cbf667f95;cfa4cceea1f21315935e;d90096afc3b383fbecb7;eb6ba637fab26b824344;ed80b78f8297d945224d;f4631b37b9a1fd57d914;fd0c4ec164cda596074b,Normalization key: openalex:https://openalex.org/s4210212741.
Exact-identifier metadata sensitivity: publication sources,Source frequency,Unknown source,15,472,3.2,,,unique studies,studies with an exact DOI or OpenAlex-ID match,single response; mutually exclusive normalized publication source,0fe5747ae7b23830be21;328dc44eb7208308940c;3cc4d65478e63af8ab6e;401238697481e3dbe32e;415ba4f99eeb473a50c2;44d09fb5dabfde2e9e31;614d439112e6f1ccea50;740cc1ae550411dacecc;862592293f46ff109fb6;bc5dd5d7b1ad1b4d21e4;d46506f34cc784478c88;da8839d00c24db7f6ad6;dec5b56924e40c32e506;e7357cbd0c17edcf1ae4;f5c57c1a6cc5d054fcac,Unknown source is retained as a separate missingness category.
Exact-identifier metadata sensitivity: publication sources,Source frequency,Cureus,9,472,1.9,,,unique studies,studies with an exact DOI or OpenAlex-ID match,single response; mutually exclusive normalized publication source,00b1591b551023fc549f;0a25081e59bfa2406a89;14e96fc7b4c3181fd39b;2a63460a75ff944e1d44;34ea437817489bccb36b;4c580842a4d610a72e9d;6d3fca2519e927f795b8;7acd89712f3fc0bb4cb7;f74b171e97e291bab8d3,Normalization key: openalex:https://openalex.org/s2738950867.
Exact-identifier metadata sensitivity: publication sources,Source frequency,Journal of Medical Internet Research,9,472,1.9,,,unique studies,studies with an exact DOI or OpenAlex-ID match,single response; mutually exclusive normalized publication source,0394426a6c4e7afe938e;2877ad2c6a928639280a;3a2d4841832fea8715fe;582bc7c400fa7acf214f;592d3957693502aad933;a4d746b41f7f88ceb127;aedb9561df16d70a7ef8;db6b016a13edb570269a;ed38fd3a7de3cb77f8a6,Normalization key: openalex:https://openalex.org/s17147534.
Exact-identifier metadata sensitivity: publication sources,Source frequency,Medical Teacher,8,472,1.7,,,unique studies,studies with an exact DOI or OpenAlex-ID match,single response; mutually exclusive normalized publication source,1c073acedd6171c3394d;2366390c9f679e2c90b7;73a1f91733c91359d5f0;7791c8951d81b4aa0b71;d7a2412d7fe5f7bee1e5;df5127c0b752274d452e;eeb5a3afa4e8b1c2635c;fb4436cacb550c46d347,Normalization key: openalex:https://openalex.org/s135934248.
Exact-identifier metadata sensitivity: publication sources,Source frequency,medRxiv,8,472,1.7,,,unique studies,studies with an exact DOI or OpenAlex-ID match,single response; mutually exclusive normalized publication source,32b43fcb025a9d77581f;5aeb6b891099b95aa832;67e2860b474712736027;7571d4d2871565bc5c1c;b75fad8b8777d2f878b6;c837d77a482b4e089619;da920e8320da57a1954a;e5b4ed028b3c0ea2eeec,Normalization key: openalex:https://openalex.org/s3005729997.
Exact-identifier metadata sensitivity: publication sources,Source frequency,Studies in health technology and informatics,8,472,1.7,,,unique studies,studies with an exact DOI or OpenAlex-ID match,single response; mutually exclusive normalized publication source,0b1b0febb2293831bcc0;11f31f18ad70545cab85;4b471ab893f0c3845025;5245cf325337d81e78ff;581dc0790951c1557bba;69f44a30a1f5c09b5e41;a32c2fb665f05ef6086f;bad1f4fb855554cb4aba,Normalization key: openalex:https://openalex.org/s4210179765.
