section,measure,category,count,denominator,percent,value,value_text,unit,denominator_definition,response_type,work_ids,note
Specialties and professions,Checked specialty/profession frequency,Medicine,88,485,18.1,,,canonical works,all canonical works,multiple response; percentages may sum to more than 100%,9d0e015a74d4a026b092;9aeba4bdaf161dff8c40;01a746b554d461cb998c;6fb769efa53620e383b7;34ea437817489bccb36b;713e417da7d85579b2d1;6e7213516f82875618ff;55c688efa556cdf3a77e;5966d1a884499670acf2;654de90417901825feeb;f1b256cdccd6208d0cc8;425ec6ee2ca714b7434a;f41f37dbb22b9ed8ae7c;1158803af3fb0ab9c072;b191e9f77e079eab9ed3;4c10642623772d392b58;594d7ce86781a2e8398f;0de698b6ef36192c9365;7442954006aac8fa63fa;1df5cdc0b4ba5e34b2ba;76597dc445d9df2ae743;7f84c902e862e25dbf2c;72f2fcd3a833c8b6e39e;296fc2ba93325a6b3ed0;64caff9ef7b3adaafe2d;581dc0790951c1557bba;d3f99e099b9310de57e3;8fa1ae6b843e2388520d;f5e8d39c518465a0d255;4cac4c9f22b3d59d56dd;9eb3b25f5e4e48cdcb6a;7b19776512fecc94e643;f31767356a0db5360a3d;b36e071a220a2c96e7c2;53e73c84997817856e1f;86f76ce0ac18d03915b2;b608f772e32f2dbbff5e;d0ead936020ec24f78a7;0aea8997b3d07a3c7455;aedb9561df16d70a7ef8;8db4130844dc8d367d1f;38da855b4155bb083590;240393927e83854aac9b;ff3b7f48f6f586cf90b7;fd0c4ec164cda596074b;a9588de788e2402350be;2877ad2c6a928639280a;d02cfb250e397dd52db5;3a2d4841832fea8715fe;327767a02786d8ff7a19;44090e715310ee158f37;582bc7c400fa7acf214f;432422a165ddc6a24c2f;59ac00c951a84da39213;416753b67d9e900455c8;14a6c8b99daf76e8179d;0a56637c161743569cf5;4ff984fed8d71f9ad381;7bda59402c9478eda64c;94dc4442e5bc1f047433;db6b016a13edb570269a;038dc9e15385ce662149;ab784e3f29bfc7622997;73a1f91733c91359d5f0;7791c8951d81b4aa0b71;fc535dce265384650ae6;37a099d4d3aa15cafaa9;766d498375e7ceff4c70;0a2c09d04e10e0478041;a4d746b41f7f88ceb127;1b087547ad0e2e8a3fa3;d7a2412d7fe5f7bee1e5;fd1a9c7f0b28a609f8af;f4631b37b9a1fd57d914;11f31f18ad70545cab85;9d44b976cb2c076751e8;8fce68134f06065fdd4a;68306d2649f0e34ccfa7;da4715a1835405ea02b7;27940ac9615817e019e3;4f06f0d72a1de087b5c5;8ce5650fcd50af3976ab;1b913a0ed3ab13c6f644;37bb0c4c182653ebb8f9;14e96fc7b4c3181fd39b;2befb2019a25a1ea563f;f5c57c1a6cc5d054fcac;9b5ff9099d241db5f86a,Source-grounded checked free-text category; counted once per work.
Specialties and professions,Checked specialty/profession frequency,Nursing,72,485,14.8,,,canonical works,all canonical works,multiple response; percentages may sum to more than 100%,4781da10664bc6a33ebc;e82a026a5524b0d4f0d3;669cbda7d16ac3f32155;beedb370b817079634f7;94ed3a0dbe4657397dc4;sci_829c4bcf5b773dba44a2;2610ebe5f560db94c888;035291e867ecf965f467;906c1e2afc9ab8dc6794;8f2528d2ba0e05485210;1563f87491d1ce4d02fb;0b1e929029c5b43c5beb;1df5cdc0b4ba5e34b2ba;f6df2d018d41c258414a;64caff9ef7b3adaafe2d;f9c1bb8b50eb65edbf84;ce47d43f097c456cdf45;3adc77e0b0502fcefcc3;fcd1902a5e565b2d2fcc;sci_a90d053bc1db526acda9;af9edf1f4c2a0c11a5eb;5dd47cd1855294dcfafd;sci_a09f51bed9668b4f7e21;5b995fc6546cbe610568;758d651bc8d5020199f1;ee3afe8181b997d521a2;3a87ecbc1ceea37e2382;7ab76d429b6539b40243;9b8b66d55c35b17e843c;b608f772e32f2dbbff5e;b924bd45d30abb49831e;643ef34d4dd326d5b164;4bae43896a7e20da2e4b;sci_205c7c070474c3f60b30;60653c070afcf8848788;32c1dcd0212f833ee125;614d439112e6f1ccea50;434224fa76b1280311a5;7920ebcf271025a5a8ee;c13d5a010789f6f44c11;0038624c09ec9fe46395;3bb7eee2436c25920c9e;6a18d985481870e99d72;94bb63aeb68eddb59442;sci_49f3e83303945c5d95da;cb97375c66ea36d11d94;58a5647e55ff3ae5746e;902be756a877af6118c0;7713a8c3085fddc6419c;740cc1ae550411dacecc;3d4ea70252a23ce4cd2f;9eabda9ff317373c18d3;69f44a30a1f5c09b5e41;sci_9353c3c154cbf1cd3c54;0394426a6c4e7afe938e;4252b0b43599d37a154a;2972cffe675ec25e930c;adf94a39c16c36a40d45;sci_333316fb42bc0b910010;49bb4b3f2e5c7a1a3f92;sci_f2cc5417df9af41a5165;7f735724143207af94c1;bd2cdf16f21f3814f67d;03dcc8a1b078476d19e0;7a5ffafc98c031b3684e;987d3b654bc3d24dc464;c58a4682ca46d2e66e96;ac37bfba546f78614410;45e7ea1fbbde53125fd7;e4caff2128dfb4f4ac0c;25f6a5df250f3ed0360b;sci_66be3ed42b9293d2ff9f,Source-grounded checked free-text category; counted once per work.
Specialties and professions,Checked specialty/profession frequency,General medical education,52,485,10.7,,,canonical works,all canonical works,multiple response; percentages may sum to more than 100%,116dd099707d378fb9a6;sci_b283d7022275d4ea7f72;18f9eaf414ec69e25aad;58483951ebaed609e26a;67e2860b474712736027;5d6128771afb1cccb251;4fdab8147c5288a598e6;d885762caf8919afe125;df6dd96b9ea594a121ce;1c9542cefba3287a5281;2dd7865e84af395616af;sci_0deb435b497fb81c6d22;de583e684ddd0364a161;d6b29e9cea0c868cc28e;302dee907e926e18ddba;19e84bd61f0782eec51c;a4f6e4afd67cbf667f95;aea68236a77645892d74;7938acbdb4523b82db58;cfa4cceea1f21315935e;d977c356ff57ab060fef;e3ee954b5290b4f74f0b;539c65e906ee41f3eabf;1c073acedd6171c3394d;f74b171e97e291bab8d3;sci_19c7e7b5094b7aa538d4;fb4436cacb550c46d347;6ab002878664147423a1;9b778c91d64124298579;04b48ce4dda567febfa2;4b5e1bc310423d1d0555;sci_3d6777cb059403330506;7fc0513f51b7c61dad31;4a9222af3af0a24b98ba;ed80b78f8297d945224d;6d60da2f964efcc60587;d46506f34cc784478c88;862592293f46ff109fb6;eb6ba637fab26b824344;588316012a3f2d9b790a;c4f5fe90704c2aa68c75;b94b9bcb1d96d93db9c0;bda47b5b58b47ca77285;98c23d01b9fb23bd43c4;668b98624eeda1089d99;da8839d00c24db7f6ad6;681bba8e632d1614f426;c2a9bbee811cd29891e3;sci_42199d910f14a1707aa3;a2883a095e505041a802;24c93ac0955292251f20;7acd89712f3fc0bb4cb7,Source-grounded checked free-text category; counted once per work.
Specialties and professions,Checked specialty/profession frequency,Health professions,29,485,6.0,,,canonical works,all canonical works,multiple response; percentages may sum to more than 100%,e5e611fc18a4d66128d9;594824ec9813877abe34;26de74e3debea64ac297;5b529e4bc562ac2c093e;f68a92632e9b465b9cd8;sci_300870bf7109221baf28;3592795dfee0e066000a;12a5244797e0de4599d0;cc3c546075dc11e58802;bd0527af9d9859ca54bb;894f08a5035b3a1872d5;30b04ea7e17c283383c8;43f6ad0fa6f4597d56fc;5245cf325337d81e78ff;81337a44aeb46520e3ec;7b627eb0e17b77a07c57;9287cf74b213e44a489d;87dd3b9b5e7ef2d3f457;4ff984fed8d71f9ad381;155acc9f21eba7b06b56;78b358c1b1f53fdbc100;73cb9769cd2180a04bb0;sci_479872e4f60f538cbd03;6af91184365b35a93de5;91738aa3fb8146efb96d;80e9a9d9f964aea305e9;06baad752a52246f7f43;e9d6ceded269a04cde99;f30eee8f6354bfa06744,Source-grounded checked free-text category; counted once per work.
Specialties and professions,Checked specialty/profession frequency,Pharmacy,22,485,4.5,,,canonical works,all canonical works,multiple response; percentages may sum to more than 100%,dcce0a8cef5543c4fec4;7f98755e27ed54f044ae;180163049fadb98a0ef8;a2fb845a99fa4f6e080c;afc8c786ca5b65ba8c74;af881e87f70fad542887;9ba2ceb3ea808e2794a1;1a8a9f25ccdf589f88f6;e4987ba5c8f46735e9ff;437f09a0c472e4ba343e;sci_b852c26f48dfbf482b84;c8c9e4c672bea3a6d994;b608f772e32f2dbbff5e;aa05a5932f8ebb716574;08cc34de5385d0bd76a6;5e9d52b66e4686a38781;03e1a6632b830e0512c9;e28e63bbe4974bda0026;7f735724143207af94c1;8bece1a102e2fe87b74e;60f8f44c77f909f61dc3;44d09fb5dabfde2e9e31,Source-grounded checked free-text category; counted once per work.
Specialties and professions,Checked specialty/profession frequency,Emergency medicine,17,485,3.5,,,canonical works,all canonical works,multiple response; percentages may sum to more than 100%,47160b043b610b447eca;088f42aecd2674d3dbe5;3b0e82db448631888b4c;c837d77a482b4e089619;035291e867ecf965f467;c6db1164aeacaa778bd4;bc52d7f8f145e43beefc;38300507331b97225df5;061a5c17950367156401;ae74530d7e9fa7f91f65;4ef0a8247384321e8b47;48e2ce8734d9d1acb602;039798e4f1498c17cf82;2366390c9f679e2c90b7;df606ccebb857fa9a592;afa9fe102dc8ed9bfaff;0a25081e59bfa2406a89,Source-grounded checked free-text category; counted once per work.
Specialties and professions,Checked specialty/profession frequency,Psychiatry,17,485,3.5,,,canonical works,all canonical works,multiple response; percentages may sum to more than 100%,6cf6dbf3648bde45720a;32b43fcb025a9d77581f;86d7e55b4cfd49b202f0;b216d2e3bbb753147fd2;328dc44eb7208308940c;35ffd2cef7df5e4ea7fc;282aa7d3820de53059e9;be9dea9f8b093b59c0c4;94bb63aeb68eddb59442;f2454b259920b1b1d032;73cb9769cd2180a04bb0;73f1b1dee9a19c0ea0af;63c69a200d415bc42d9b;ea35181a48e801132195;2c33e3b00e199776ba05;4f796e0ce90dce8d4da8;20e73ed62a3078e6a9b4,Source-grounded checked free-text category; counted once per work.
Specialties and professions,Checked specialty/profession frequency,Dentistry,16,485,3.3,,,canonical works,all canonical works,multiple response; percentages may sum to more than 100%,0b386fbba1d6908a565d;fa24b39d9c9c2f6142d6;0aad164402f8e4deea3b;e73b99fafd0009a6e927;3aba8ba7976a49acd0ac;sci_454fe3ad37947557e9a6;eb0a6b505c3ccc9e534d;ed38fd3a7de3cb77f8a6;b3e39792f96130f4a0b4;sci_aea73a0d6d3e592a48a0;b3a8d73bf08119c4ce68;81087c9bc5a7366ff084;78868accc1f86fb42dce;b2f1db675b2599e354ab;401238697481e3dbe32e;ba402925b430558ae1e0,Source-grounded checked free-text category; counted once per work.
Specialties and professions,Checked specialty/profession frequency,Mental health,15,485,3.1,,,canonical works,all canonical works,multiple response; percentages may sum to more than 100%,e4a287ed511b7be9baa5;319d5b791f54df181b23;ed23e4c8ee00516d2110;sci_ce41b4792638011f5d74;bd0527af9d9859ca54bb;sci_637ee1f73b6fd5027d1c;359e1289e1f098bb36e2;85b8ae635d7a78f669e0;415ba4f99eeb473a50c2;bc5dd5d7b1ad1b4d21e4;038dc9e15385ce662149;73f1b1dee9a19c0ea0af;df4adbef2a265890959e;1d69e819d76b702e955f;d06c6ad96bb08eb739dc,Source-grounded checked free-text category; counted once per work.
Specialties and professions,Checked specialty/profession frequency,Surgery,12,485,2.5,,,canonical works,all canonical works,multiple response; percentages may sum to more than 100%,b53bf33d223a68f17e8c;5116aab375eedc896bfd;501d19c3bd3160083e8a;sci_6840c15b05b568f05153;0b1b0febb2293831bcc0;f2be4ac5256845407914;9053eb63f4358c343310;8a18fabf9cf9be3f8a36;5aa2066f4c78fde5a50b;359e1289e1f098bb36e2;sci_1b84a9e2391f6779175c;2f08c4b2b3acc1eaa9d5,Source-grounded checked free-text category; counted once per work.
