section,measure,category,count,denominator,percent,value,value_text,unit,denominator_definition,response_type,work_ids,note
Phrase co-occurrence,Same-work phrase pair,large language model + medical or health-professions education,120,485,24.7,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,00dc13a955ae4496d4ca;01a746b554d461cb998c;03345c1deb2aad29820e;038dc9e15385ce662149;039798e4f1498c17cf82;04b48ce4dda567febfa2;07d462beafe4d21ba016;088f42aecd2674d3dbe5;0a2c09d04e10e0478041;0a56637c161743569cf5;0de698b6ef36192c9365;0fe5747ae7b23830be21;1158803af3fb0ab9c072;14e96fc7b4c3181fd39b;18f9eaf414ec69e25aad;19e84bd61f0782eec51c;1c073acedd6171c3394d;1df5cdc0b4ba5e34b2ba;243562012607f7033171;24c93ac0955292251f20;296fc2ba93325a6b3ed0;2dd7865e84af395616af;302dee907e926e18ddba;32b43fcb025a9d77581f;34ea437817489bccb36b;359e1289e1f098bb36e2;38da855b4155bb083590;3a2d4841832fea8715fe;3b0e82db448631888b4c;3e6c586541bbab277f12;415ba4f99eeb473a50c2;4252b0b43599d37a154a;432422a165ddc6a24c2f;44090e715310ee158f37;4823a4ac11c66c68a7d4;48a55d4cf5cff922481f;48e2ce8734d9d1acb602;4c580842a4d610a72e9d;4ff984fed8d71f9ad381;50ac103890932b40242c;538dc624d4f06d86f6a2;539c65e906ee41f3eabf;548ca816901c7761f0bf;55c688efa556cdf3a77e;56dc16bbc7cd98ca993a;581dc0790951c1557bba;582bc7c400fa7acf214f;58483951ebaed609e26a;593c7da1de5e9f26b59d;594824ec9813877abe34;594d7ce86781a2e8398f;59ac00c951a84da39213;5aeb6b891099b95aa832;5d6128771afb1cccb251;633dafafd7b2de3e7ad0;6457c6be7c6ba150ede6;64947cabbe7282713c10;654de90417901825feeb;67e2860b474712736027;6d3fca2519e927f795b8;73cb9769cd2180a04bb0;7442954006aac8fa63fa;76597dc445d9df2ae743;766d498375e7ceff4c70;78b358c1b1f53fdbc100;79301031755b16db8fe6;7a269bae27b9f603ddda;7bda59402c9478eda64c;81087c9bc5a7366ff084;81e99943a71c35f1b5e2;862592293f46ff109fb6;86f76ce0ac18d03915b2;87dd3b9b5e7ef2d3f457;8a18fabf9cf9be3f8a36;8ce5650fcd50af3976ab;8fa1ae6b843e2388520d;9053eb63f4358c343310;91738aa3fb8146efb96d;9aeba4bdaf161dff8c40;9ba2ceb3ea808e2794a1;9d0e015a74d4a026b092;9eb3b25f5e4e48cdcb6a;a4d746b41f7f88ceb127;aedb9561df16d70a7ef8;afa9fe102dc8ed9bfaff;ba1df7c86ec2eeb0e945;ba402925b430558ae1e0;ba93136b38c9a66d059f;bad1f4fb855554cb4aba;c837d77a482b4e089619;c98aa2499bea62fd3f2a;cfa4cceea1f21315935e;d02cfb250e397dd52db5;d2f64f874b70a189b145;d3f99e099b9310de57e3;d46506f34cc784478c88;d6b29e9cea0c868cc28e;d7a2412d7fe5f7bee1e5;d885762caf8919afe125;d90096afc3b383fbecb7;d977c356ff57ab060fef;da4715a1835405ea02b7;db6b016a13edb570269a;de583e684ddd0364a161;df606ccebb857fa9a592;df6dd96b9ea594a121ce;e5814fecd144cc3fe016;e5b4ed028b3c0ea2eeec;eb0a6b505c3ccc9e534d;eb8b75c75edacbfa547b;ed072d60d05f5e236143;ed80b78f8297d945224d;f2454b259920b1b1d032;f31767356a0db5360a3d;f74b171e97e291bab8d3;f97eadc969f29dc262e7;fb4436cacb550c46d347;fc535dce265384650ae6;ff3b7f48f6f586cf90b7;sci_1b84a9e2391f6779175c,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,generative artificial intelligence + medical or health-professions education,103,485,21.2,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,00dc13a955ae4496d4ca;03345c1deb2aad29820e;035291e867ecf965f467;096c409373966ea99821;0c75f057197182777687;107a276748b6c98a2e50;116dd099707d378fb9a6;19e84bd61f0782eec51c;1c073acedd6171c3394d;243562012607f7033171;2befb2019a25a1ea563f;31f58d5793ca1ef590ea;32b43fcb025a9d77581f;3592795dfee0e066000a;37bb0c4c182653ebb8f9;38da855b4155bb083590;3a5aebe14250eec39412;3cc4d65478e63af8ab6e;412046e11296d150c70a;416753b67d9e900455c8;4252b0b43599d37a154a;4301913b143d4dcf67c6;43f6ad0fa6f4597d56fc;44d09fb5dabfde2e9e31;47160b043b610b447eca;48e2ce8734d9d1acb602;4b7753ecc7bff0d54289;4c10642623772d392b58;4c580842a4d610a72e9d;4f796e0ce90dce8d4da8;4ff984fed8d71f9ad381;548ca816901c7761f0bf;55c688efa556cdf3a77e;58483951ebaed609e26a;5966d1a884499670acf2;59ac00c951a84da39213;5aeb6b891099b95aa832;5c99d6be17d81210020f;633dafafd7b2de3e7ad0;6457c6be7c6ba150ede6;654de90417901825feeb;681bba8e632d1614f426;68306d2649f0e34ccfa7;6d60da2f964efcc60587;6d85b580a0562cc121d4;72f2fcd3a833c8b6e39e;76597dc445d9df2ae743;766d498375e7ceff4c70;766fde2e997ea8140bd0;7791c8951d81b4aa0b71;78b358c1b1f53fdbc100;79301031755b16db8fe6;7a9ca4d4d16f4705139f;7acd89712f3fc0bb4cb7;7bda59402c9478eda64c;7fc0513f51b7c61dad31;81087c9bc5a7366ff084;859f96f4eca259cdb9e8;862592293f46ff109fb6;86f76ce0ac18d03915b2;891bdc5ee1f3d07f820a;8a18fabf9cf9be3f8a36;8f2528d2ba0e05485210;9053eb63f4358c343310;94bb63aeb68eddb59442;98c23d01b9fb23bd43c4;a03df064164f1b54d1d5;a2883a095e505041a802;a32c2fb665f05ef6086f;a9588de788e2402350be;abda3007be07a5153c0c;aea68236a77645892d74;af9edf1f4c2a0c11a5eb;b216d2e3bbb753147fd2;b2f1db675b2599e354ab;b36e071a220a2c96e7c2;bd0527af9d9859ca54bb;bda47b5b58b47ca77285;c2a9bbee811cd29891e3;c4f5fe90704c2aa68c75;cb97375c66ea36d11d94;d02cfb250e397dd52db5;d3f99e099b9310de57e3;da8839d00c24db7f6ad6;df5127c0b752274d452e;e2a36443154e9a33aff9;e3ee954b5290b4f74f0b;e5814fecd144cc3fe016;eb0a6b505c3ccc9e534d;eb6ba637fab26b824344;eb8b75c75edacbfa547b;ed072d60d05f5e236143;ed38fd3a7de3cb77f8a6;eeb5a3afa4e8b1c2635c;f41f37dbb22b9ed8ae7c;f4631b37b9a1fd57d914;f54e36609097c96e8b6d;f5c57c1a6cc5d054fcac;fa24b39d9c9c2f6142d6;fd0c4ec164cda596074b;ff3b7f48f6f586cf90b7;sci_300870bf7109221baf28;sci_f57abde71790ef1bc83d,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,large language model + virtual patient,102,485,21.0,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,01a746b554d461cb998c;038dc9e15385ce662149;0394426a6c4e7afe938e;07d462beafe4d21ba016;0835d7fde9c090ca963c;0a2c09d04e10e0478041;0de698b6ef36192c9365;0fe5747ae7b23830be21;166aa3cc368ebd076b91;19e84bd61f0782eec51c;1a1d7801effe1e2b850a;1a8a9f25ccdf589f88f6;1c073acedd6171c3394d;1c9542cefba3287a5281;1df5cdc0b4ba5e34b2ba;20e73ed62a3078e6a9b4;217a1796806e392c3e77;282aa7d3820de53059e9;2877ad2c6a928639280a;30b04ea7e17c283383c8;34ea437817489bccb36b;35ffd2cef7df5e4ea7fc;36878122d89a1f0ba51c;3a2d4841832fea8715fe;3e6c586541bbab277f12;415ba4f99eeb473a50c2;432422a165ddc6a24c2f;48e2ce8734d9d1acb602;4ff984fed8d71f9ad381;50ac103890932b40242c;538dc624d4f06d86f6a2;539c65e906ee41f3eabf;55c688efa556cdf3a77e;581dc0790951c1557bba;58483951ebaed609e26a;594824ec9813877abe34;59ac00c951a84da39213;5da1c6c1e35204ff7f9d;5dd47cd1855294dcfafd;633dafafd7b2de3e7ad0;64947cabbe7282713c10;64a85483f87115653128;654de90417901825feeb;6af91184365b35a93de5;6f1527fb10827ca1da01;713e417da7d85579b2d1;73cb9769cd2180a04bb0;7442954006aac8fa63fa;758d651bc8d5020199f1;76597dc445d9df2ae743;76a6c8049ee4223224f6;78b358c1b1f53fdbc100;7938acbdb4523b82db58;7a269bae27b9f603ddda;7b19776512fecc94e643;81087c9bc5a7366ff084;85b8ae635d7a78f669e0;862592293f46ff109fb6;86f76ce0ac18d03915b2;894f08a5035b3a1872d5;8a18fabf9cf9be3f8a36;8ad0258644c0c312a7d8;8bece1a102e2fe87b74e;8ce5650fcd50af3976ab;9053eb63f4358c343310;91738aa3fb8146efb96d;9b8b66d55c35b17e843c;9d0e015a74d4a026b092;9eb3b25f5e4e48cdcb6a;a4d746b41f7f88ceb127;adc1485c258278b24c4e;aedb9561df16d70a7ef8;af881e87f70fad542887;afc8c786ca5b65ba8c74;b191e9f77e079eab9ed3;b3a8d73bf08119c4ce68;b608f772e32f2dbbff5e;c58a4682ca46d2e66e96;c837d77a482b4e089619;c98aa2499bea62fd3f2a;caf55d1c5f0358791a96;d3f99e099b9310de57e3;d46506f34cc784478c88;d90096afc3b383fbecb7;d977c356ff57ab060fef;da4715a1835405ea02b7;db6b016a13edb570269a;de583e684ddd0364a161;e4a287ed511b7be9baa5;e5814fecd144cc3fe016;ea35181a48e801132195;eb0a6b505c3ccc9e534d;ed23e4c8ee00516d2110;ed80b78f8297d945224d;f2454b259920b1b1d032;f74b171e97e291bab8d3;f97eadc969f29dc262e7;fb4436cacb550c46d347;fc535dce265384650ae6;ff3b7f48f6f586cf90b7;sci_0deb435b497fb81c6d22;sci_479872e4f60f538cbd03,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,virtual patient + medical or health-professions education,96,485,19.8,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,01a746b554d461cb998c;038dc9e15385ce662149;07d462beafe4d21ba016;096c409373966ea99821;0a2c09d04e10e0478041;0de698b6ef36192c9365;0fe5747ae7b23830be21;116dd099707d378fb9a6;19e84bd61f0782eec51c;1b913a0ed3ab13c6f644;1c073acedd6171c3394d;1df5cdc0b4ba5e34b2ba;31f58d5793ca1ef590ea;34ea437817489bccb36b;3592795dfee0e066000a;3a2d4841832fea8715fe;3e6c586541bbab277f12;415ba4f99eeb473a50c2;432422a165ddc6a24c2f;44d09fb5dabfde2e9e31;48e2ce8734d9d1acb602;4b7753ecc7bff0d54289;4c10642623772d392b58;4c4dc7fcefb1e9f3abdf;4f796e0ce90dce8d4da8;4ff984fed8d71f9ad381;50ac103890932b40242c;538dc624d4f06d86f6a2;539c65e906ee41f3eabf;53e73c84997817856e1f;55c688efa556cdf3a77e;581dc0790951c1557bba;58483951ebaed609e26a;594824ec9813877abe34;59ac00c951a84da39213;5b356113a239c62ba5ac;633dafafd7b2de3e7ad0;64947cabbe7282713c10;654de90417901825feeb;681bba8e632d1614f426;6d60da2f964efcc60587;73cb9769cd2180a04bb0;7442954006aac8fa63fa;76597dc445d9df2ae743;766fde2e997ea8140bd0;7791c8951d81b4aa0b71;78b358c1b1f53fdbc100;7a269bae27b9f603ddda;7a9ca4d4d16f4705139f;7acd89712f3fc0bb4cb7;7fc0513f51b7c61dad31;81087c9bc5a7366ff084;859f96f4eca259cdb9e8;862592293f46ff109fb6;86f76ce0ac18d03915b2;8a18fabf9cf9be3f8a36;8ce5650fcd50af3976ab;9053eb63f4358c343310;91738aa3fb8146efb96d;98c23d01b9fb23bd43c4;9d0e015a74d4a026b092;9d44b976cb2c076751e8;9eb3b25f5e4e48cdcb6a;a2883a095e505041a802;a4d746b41f7f88ceb127;adf94a39c16c36a40d45;aedb9561df16d70a7ef8;b2f1db675b2599e354ab;b3e39792f96130f4a0b4;c4f5fe90704c2aa68c75;c837d77a482b4e089619;c98aa2499bea62fd3f2a;d3f99e099b9310de57e3;d46506f34cc784478c88;d90096afc3b383fbecb7;d977c356ff57ab060fef;da4715a1835405ea02b7;da8839d00c24db7f6ad6;db6b016a13edb570269a;de583e684ddd0364a161;df5127c0b752274d452e;e2a36443154e9a33aff9;e5814fecd144cc3fe016;e73b99fafd0009a6e927;eb0a6b505c3ccc9e534d;ed80b78f8297d945224d;f2454b259920b1b1d032;f5e8d39c518465a0d255;f74b171e97e291bab8d3;f97eadc969f29dc262e7;fa24b39d9c9c2f6142d6;fb4436cacb550c46d347;fc535dce265384650ae6;fd0c4ec164cda596074b;ff3b7f48f6f586cf90b7;sci_9353c3c154cbf1cd3c54,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,large language model + assessment or scoring,93,485,19.2,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,03345c1deb2aad29820e;0835d7fde9c090ca963c;0a2c09d04e10e0478041;1158803af3fb0ab9c072;166aa3cc368ebd076b91;19e84bd61f0782eec51c;1a8a9f25ccdf589f88f6;1df5cdc0b4ba5e34b2ba;217a1796806e392c3e77;240393927e83854aac9b;282aa7d3820de53059e9;296fc2ba93325a6b3ed0;2c33e3b00e199776ba05;2f08c4b2b3acc1eaa9d5;302dee907e926e18ddba;32b43fcb025a9d77581f;38da855b4155bb083590;3a2d4841832fea8715fe;3e6c586541bbab277f12;44090e715310ee158f37;4823a4ac11c66c68a7d4;48e2ce8734d9d1acb602;4c580842a4d610a72e9d;4eabef99b9ccb8ef8fd4;4ff984fed8d71f9ad381;50ac103890932b40242c;54972cda535948a803e8;55c688efa556cdf3a77e;582bc7c400fa7acf214f;593c7da1de5e9f26b59d;5aa2066f4c78fde5a50b;5aeb6b891099b95aa832;5da1c6c1e35204ff7f9d;5dd47cd1855294dcfafd;63c69a200d415bc42d9b;6457c6be7c6ba150ede6;64a85483f87115653128;64d8153970a657aa23b0;654de90417901825feeb;67e2860b474712736027;6f1527fb10827ca1da01;73a1f91733c91359d5f0;73cb9769cd2180a04bb0;7571d4d2871565bc5c1c;758d651bc8d5020199f1;76597dc445d9df2ae743;78b358c1b1f53fdbc100;7bda59402c9478eda64c;7f98755e27ed54f044ae;8094cb5448e9c4e2f371;843a6b1f2c79c1bd4273;85b8ae635d7a78f669e0;87dd3b9b5e7ef2d3f457;886368e8c3c194de3abd;8a18fabf9cf9be3f8a36;8ad0258644c0c312a7d8;9053eb63f4358c343310;9ba2ceb3ea808e2794a1;9d0e015a74d4a026b092;a4f6e4afd67cbf667f95;adc1485c258278b24c4e;afa9fe102dc8ed9bfaff;afc8c786ca5b65ba8c74;b4fa4675ffa2674da6e1;b53bf33d223a68f17e8c;b777355095979479280c;bad1f4fb855554cb4aba;bc52d7f8f145e43beefc;bed98da775e40e17c44e;c837d77a482b4e089619;caf55d1c5f0358791a96;d02cfb250e397dd52db5;d7a2412d7fe5f7bee1e5;d885762caf8919afe125;d90096afc3b383fbecb7;db80308782a219cbea0e;df4adbef2a265890959e;e5814fecd144cc3fe016;e5b4ed028b3c0ea2eeec;ea35181a48e801132195;ead3628c23fe3e244e24;eb8b75c75edacbfa547b;ec6081495209898a9c42;ed80b78f8297d945224d;f1b256cdccd6208d0cc8;f2454b259920b1b1d032;f2be4ac5256845407914;f68a92632e9b465b9cd8;f917e0b66cef158b9df0;f97eadc969f29dc262e7;fb4436cacb550c46d347;fc535dce265384650ae6;sci_454fe3ad37947557e9a6,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,medical or health-professions education + assessment or scoring,83,485,17.1,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,03345c1deb2aad29820e;061a5c17950367156401;096c409373966ea99821;0a25081e59bfa2406a89;0a2c09d04e10e0478041;0c75f057197182777687;1158803af3fb0ab9c072;19e84bd61f0782eec51c;1df5cdc0b4ba5e34b2ba;27940ac9615817e019e3;296fc2ba93325a6b3ed0;302dee907e926e18ddba;31f58d5793ca1ef590ea;32b43fcb025a9d77581f;38300507331b97225df5;38da855b4155bb083590;3a2d4841832fea8715fe;3e6c586541bbab277f12;412046e11296d150c70a;44090e715310ee158f37;44d09fb5dabfde2e9e31;4823a4ac11c66c68a7d4;48e2ce8734d9d1acb602;4c580842a4d610a72e9d;4f796e0ce90dce8d4da8;4ff984fed8d71f9ad381;50ac103890932b40242c;53e73c84997817856e1f;55c688efa556cdf3a77e;582bc7c400fa7acf214f;588316012a3f2d9b790a;593c7da1de5e9f26b59d;5aeb6b891099b95aa832;6457c6be7c6ba150ede6;654de90417901825feeb;67e2860b474712736027;681bba8e632d1614f426;68306d2649f0e34ccfa7;6ab002878664147423a1;6d85b580a0562cc121d4;73cb9769cd2180a04bb0;76597dc445d9df2ae743;7791c8951d81b4aa0b71;78b358c1b1f53fdbc100;7acd89712f3fc0bb4cb7;7bda59402c9478eda64c;7f735724143207af94c1;86d7e55b4cfd49b202f0;87dd3b9b5e7ef2d3f457;8a18fabf9cf9be3f8a36;8f2528d2ba0e05485210;9053eb63f4358c343310;94bb63aeb68eddb59442;94dc4442e5bc1f047433;9b5ff9099d241db5f86a;9ba2ceb3ea808e2794a1;9d0e015a74d4a026b092;a9588de788e2402350be;afa9fe102dc8ed9bfaff;b216d2e3bbb753147fd2;bad1f4fb855554cb4aba;c4f5fe90704c2aa68c75;c837d77a482b4e089619;d02cfb250e397dd52db5;d7a2412d7fe5f7bee1e5;d885762caf8919afe125;d90096afc3b383fbecb7;da8839d00c24db7f6ad6;df5127c0b752274d452e;e5814fecd144cc3fe016;e5b4ed028b3c0ea2eeec;eb8b75c75edacbfa547b;ebc2ea10b1b751d8e58c;ed80b78f8297d945224d;f2454b259920b1b1d032;f41f37dbb22b9ed8ae7c;f4631b37b9a1fd57d914;f97eadc969f29dc262e7;fb4436cacb550c46d347;fc535dce265384650ae6;fd0c4ec164cda596074b;sci_300870bf7109221baf28;sci_9353c3c154cbf1cd3c54,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,generative artificial intelligence + assessment or scoring,82,485,16.9,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,03345c1deb2aad29820e;0835d7fde9c090ca963c;096c409373966ea99821;0b1e929029c5b43c5beb;0c75f057197182777687;11f31f18ad70545cab85;12a5244797e0de4599d0;19e84bd61f0782eec51c;24ffbec5a9dbce04e0fd;282aa7d3820de53059e9;31f58d5793ca1ef590ea;32b43fcb025a9d77581f;38da855b4155bb083590;412046e11296d150c70a;434224fa76b1280311a5;44d09fb5dabfde2e9e31;48e2ce8734d9d1acb602;4c580842a4d610a72e9d;4eabef99b9ccb8ef8fd4;4f06f0d72a1de087b5c5;4f796e0ce90dce8d4da8;4fdab8147c5288a598e6;4ff984fed8d71f9ad381;501d19c3bd3160083e8a;55c688efa556cdf3a77e;5aeb6b891099b95aa832;5dd47cd1855294dcfafd;5e9d52b66e4686a38781;643ef34d4dd326d5b164;6457c6be7c6ba150ede6;64a85483f87115653128;64caff9ef7b3adaafe2d;654de90417901825feeb;669cbda7d16ac3f32155;681bba8e632d1614f426;68306d2649f0e34ccfa7;6d85b580a0562cc121d4;6e06ede93e94c8f8e15c;6f1527fb10827ca1da01;740cc1ae550411dacecc;76597dc445d9df2ae743;7713a8c3085fddc6419c;7791c8951d81b4aa0b71;78b358c1b1f53fdbc100;7a5ffafc98c031b3684e;7ab76d429b6539b40243;7acd89712f3fc0bb4cb7;7bda59402c9478eda64c;843a6b1f2c79c1bd4273;8a18fabf9cf9be3f8a36;8ad0258644c0c312a7d8;8f2528d2ba0e05485210;9053eb63f4358c343310;94bb63aeb68eddb59442;a9588de788e2402350be;adc1485c258278b24c4e;afc8c786ca5b65ba8c74;b216d2e3bbb753147fd2;b4fa4675ffa2674da6e1;be9dea9f8b093b59c0c4;beedb370b817079634f7;c2d6c7abc598aacc0368;c4f5fe90704c2aa68c75;d02cfb250e397dd52db5;d06c6ad96bb08eb739dc;da8839d00c24db7f6ad6;dcce0a8cef5543c4fec4;df5127c0b752274d452e;e5814fecd144cc3fe016;ead3628c23fe3e244e24;eb664530dc232a9e1750;eb8b75c75edacbfa547b;ec6081495209898a9c42;eee52e824f1559f7759a;ef046f239f256df5f180;f41f37dbb22b9ed8ae7c;f4631b37b9a1fd57d914;fd0c4ec164cda596074b;ffe994fbb4a27b100f16;sci_300870bf7109221baf28;sci_829c4bcf5b773dba44a2;sci_a90d053bc1db526acda9,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,generative artificial intelligence + virtual patient,76,485,15.7,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,0394426a6c4e7afe938e;0835d7fde9c090ca963c;096c409373966ea99821;116dd099707d378fb9a6;14a6c8b99daf76e8179d;19e84bd61f0782eec51c;1c073acedd6171c3394d;25f6a5df250f3ed0360b;282aa7d3820de53059e9;319d5b791f54df181b23;31f58d5793ca1ef590ea;3592795dfee0e066000a;3a87ecbc1ceea37e2382;3adc77e0b0502fcefcc3;401238697481e3dbe32e;44d09fb5dabfde2e9e31;48e2ce8734d9d1acb602;4b7753ecc7bff0d54289;4c10642623772d392b58;4f06f0d72a1de087b5c5;4f796e0ce90dce8d4da8;4ff984fed8d71f9ad381;5245cf325337d81e78ff;55c688efa556cdf3a77e;58483951ebaed609e26a;592d3957693502aad933;59ac00c951a84da39213;5dd47cd1855294dcfafd;614d439112e6f1ccea50;633dafafd7b2de3e7ad0;64a85483f87115653128;654de90417901825feeb;669cbda7d16ac3f32155;681bba8e632d1614f426;6d60da2f964efcc60587;6f1527fb10827ca1da01;713e417da7d85579b2d1;76597dc445d9df2ae743;766fde2e997ea8140bd0;7791c8951d81b4aa0b71;78b358c1b1f53fdbc100;7920ebcf271025a5a8ee;7a9ca4d4d16f4705139f;7acd89712f3fc0bb4cb7;7b627eb0e17b77a07c57;7f84c902e862e25dbf2c;7fc0513f51b7c61dad31;81087c9bc5a7366ff084;859f96f4eca259cdb9e8;862592293f46ff109fb6;86f76ce0ac18d03915b2;8a18fabf9cf9be3f8a36;8ad0258644c0c312a7d8;8db4130844dc8d367d1f;9053eb63f4358c343310;98c23d01b9fb23bd43c4;a2883a095e505041a802;adc1485c258278b24c4e;af881e87f70fad542887;afc8c786ca5b65ba8c74;b2f1db675b2599e354ab;bd2cdf16f21f3814f67d;be9dea9f8b093b59c0c4;c2d6c7abc598aacc0368;c4f5fe90704c2aa68c75;d06c6ad96bb08eb739dc;d3f99e099b9310de57e3;da8839d00c24db7f6ad6;df5127c0b752274d452e;e2a36443154e9a33aff9;e4a287ed511b7be9baa5;e5814fecd144cc3fe016;eb0a6b505c3ccc9e534d;fa24b39d9c9c2f6142d6;fd0c4ec164cda596074b;ff3b7f48f6f586cf90b7,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,large language model + generative artificial intelligence,65,485,13.4,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,00dc13a955ae4496d4ca;03345c1deb2aad29820e;0394426a6c4e7afe938e;0835d7fde9c090ca963c;19e84bd61f0782eec51c;1c073acedd6171c3394d;1f1c780e93f8833f8015;243562012607f7033171;2610ebe5f560db94c888;272439595ff3b96c35f3;282aa7d3820de53059e9;2a63460a75ff944e1d44;32b43fcb025a9d77581f;38da855b4155bb083590;4252b0b43599d37a154a;48e2ce8734d9d1acb602;4c580842a4d610a72e9d;4eabef99b9ccb8ef8fd4;4ff984fed8d71f9ad381;5116aab375eedc896bfd;548ca816901c7761f0bf;55c688efa556cdf3a77e;58483951ebaed609e26a;59ac00c951a84da39213;5aeb6b891099b95aa832;5dd47cd1855294dcfafd;633dafafd7b2de3e7ad0;6457c6be7c6ba150ede6;64a85483f87115653128;654de90417901825feeb;6ad5ba253eb6dea25a47;6f1527fb10827ca1da01;713e417da7d85579b2d1;76597dc445d9df2ae743;766d498375e7ceff4c70;78868accc1f86fb42dce;78b358c1b1f53fdbc100;79301031755b16db8fe6;7bda59402c9478eda64c;7d5cb710e5a6901bbaaa;81087c9bc5a7366ff084;843a6b1f2c79c1bd4273;862592293f46ff109fb6;86f76ce0ac18d03915b2;8a18fabf9cf9be3f8a36;8ad0258644c0c312a7d8;9053eb63f4358c343310;adc1485c258278b24c4e;af881e87f70fad542887;afc8c786ca5b65ba8c74;b052274076e5e7cc16db;b4fa4675ffa2674da6e1;d02cfb250e397dd52db5;d3f99e099b9310de57e3;e4a287ed511b7be9baa5;e5814fecd144cc3fe016;ead3628c23fe3e244e24;eb0a6b505c3ccc9e534d;eb6afac746ee34d7a37f;eb8b75c75edacbfa547b;ec6081495209898a9c42;ed072d60d05f5e236143;f30eee8f6354bfa06744;ff3b7f48f6f586cf90b7;sci_66be3ed42b9293d2ff9f,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,large language model + standardized patient,63,485,13.0,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,03345c1deb2aad29820e;038dc9e15385ce662149;0394426a6c4e7afe938e;0835d7fde9c090ca963c;1158803af3fb0ab9c072;14e96fc7b4c3181fd39b;18f9eaf414ec69e25aad;19e84bd61f0782eec51c;1c073acedd6171c3394d;240393927e83854aac9b;24c93ac0955292251f20;2a63460a75ff944e1d44;2c33e3b00e199776ba05;302dee907e926e18ddba;327767a02786d8ff7a19;32b43fcb025a9d77581f;35ffd2cef7df5e4ea7fc;3a2d4841832fea8715fe;432422a165ddc6a24c2f;4b471ab893f0c3845025;548ca816901c7761f0bf;581dc0790951c1557bba;582bc7c400fa7acf214f;58483951ebaed609e26a;59ac00c951a84da39213;5aeb6b891099b95aa832;5da1c6c1e35204ff7f9d;64d8153970a657aa23b0;67e2860b474712736027;72c30900482428bf1e49;73a1f91733c91359d5f0;76597dc445d9df2ae743;76a6c8049ee4223224f6;7bda59402c9478eda64c;81087c9bc5a7366ff084;81e99943a71c35f1b5e2;86f76ce0ac18d03915b2;87dd3b9b5e7ef2d3f457;8ad0258644c0c312a7d8;8bece1a102e2fe87b74e;8ce5650fcd50af3976ab;9717d5f24495686aabe2;9b8b66d55c35b17e843c;a4f6e4afd67cbf667f95;b191e9f77e079eab9ed3;b4fa4675ffa2674da6e1;b608f772e32f2dbbff5e;ba93136b38c9a66d059f;c837d77a482b4e089619;d3f99e099b9310de57e3;d90096afc3b383fbecb7;da4715a1835405ea02b7;da920e8320da57a1954a;df6dd96b9ea594a121ce;e5814fecd144cc3fe016;eb6afac746ee34d7a37f;ed80b78f8297d945224d;f74b171e97e291bab8d3;f917e0b66cef158b9df0;fbcfe4a5c41e518e74ba;fd1a9c7f0b28a609f8af;sci_19c7e7b5094b7aa538d4;sci_3d6777cb059403330506,Descriptive same-work co-occurrence only.
