section,measure,category,count,denominator,percent,value,value_text,unit,denominator_definition,response_type,work_ids,note
Phrase co-occurrence,Same-work phrase pair,virtual patient + medical or health-professions education,96,485,19.8,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,01a746b554d461cb998c;038dc9e15385ce662149;07d462beafe4d21ba016;096c409373966ea99821;0a2c09d04e10e0478041;0de698b6ef36192c9365;0fe5747ae7b23830be21;116dd099707d378fb9a6;19e84bd61f0782eec51c;1b913a0ed3ab13c6f644;1c073acedd6171c3394d;1df5cdc0b4ba5e34b2ba;31f58d5793ca1ef590ea;34ea437817489bccb36b;3592795dfee0e066000a;3a2d4841832fea8715fe;3e6c586541bbab277f12;415ba4f99eeb473a50c2;432422a165ddc6a24c2f;44d09fb5dabfde2e9e31;48e2ce8734d9d1acb602;4b7753ecc7bff0d54289;4c10642623772d392b58;4c4dc7fcefb1e9f3abdf;4f796e0ce90dce8d4da8;4ff984fed8d71f9ad381;50ac103890932b40242c;538dc624d4f06d86f6a2;539c65e906ee41f3eabf;53e73c84997817856e1f;55c688efa556cdf3a77e;581dc0790951c1557bba;58483951ebaed609e26a;594824ec9813877abe34;59ac00c951a84da39213;5b356113a239c62ba5ac;633dafafd7b2de3e7ad0;64947cabbe7282713c10;654de90417901825feeb;681bba8e632d1614f426;6d60da2f964efcc60587;73cb9769cd2180a04bb0;7442954006aac8fa63fa;76597dc445d9df2ae743;766fde2e997ea8140bd0;7791c8951d81b4aa0b71;78b358c1b1f53fdbc100;7a269bae27b9f603ddda;7a9ca4d4d16f4705139f;7acd89712f3fc0bb4cb7;7fc0513f51b7c61dad31;81087c9bc5a7366ff084;859f96f4eca259cdb9e8;862592293f46ff109fb6;86f76ce0ac18d03915b2;8a18fabf9cf9be3f8a36;8ce5650fcd50af3976ab;9053eb63f4358c343310;91738aa3fb8146efb96d;98c23d01b9fb23bd43c4;9d0e015a74d4a026b092;9d44b976cb2c076751e8;9eb3b25f5e4e48cdcb6a;a2883a095e505041a802;a4d746b41f7f88ceb127;adf94a39c16c36a40d45;aedb9561df16d70a7ef8;b2f1db675b2599e354ab;b3e39792f96130f4a0b4;c4f5fe90704c2aa68c75;c837d77a482b4e089619;c98aa2499bea62fd3f2a;d3f99e099b9310de57e3;d46506f34cc784478c88;d90096afc3b383fbecb7;d977c356ff57ab060fef;da4715a1835405ea02b7;da8839d00c24db7f6ad6;db6b016a13edb570269a;de583e684ddd0364a161;df5127c0b752274d452e;e2a36443154e9a33aff9;e5814fecd144cc3fe016;e73b99fafd0009a6e927;eb0a6b505c3ccc9e534d;ed80b78f8297d945224d;f2454b259920b1b1d032;f5e8d39c518465a0d255;f74b171e97e291bab8d3;f97eadc969f29dc262e7;fa24b39d9c9c2f6142d6;fb4436cacb550c46d347;fc535dce265384650ae6;fd0c4ec164cda596074b;ff3b7f48f6f586cf90b7;sci_9353c3c154cbf1cd3c54,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,medical or health-professions education + assessment or scoring,83,485,17.1,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,03345c1deb2aad29820e;061a5c17950367156401;096c409373966ea99821;0a25081e59bfa2406a89;0a2c09d04e10e0478041;0c75f057197182777687;1158803af3fb0ab9c072;19e84bd61f0782eec51c;1df5cdc0b4ba5e34b2ba;27940ac9615817e019e3;296fc2ba93325a6b3ed0;302dee907e926e18ddba;31f58d5793ca1ef590ea;32b43fcb025a9d77581f;38300507331b97225df5;38da855b4155bb083590;3a2d4841832fea8715fe;3e6c586541bbab277f12;412046e11296d150c70a;44090e715310ee158f37;44d09fb5dabfde2e9e31;4823a4ac11c66c68a7d4;48e2ce8734d9d1acb602;4c580842a4d610a72e9d;4f796e0ce90dce8d4da8;4ff984fed8d71f9ad381;50ac103890932b40242c;53e73c84997817856e1f;55c688efa556cdf3a77e;582bc7c400fa7acf214f;588316012a3f2d9b790a;593c7da1de5e9f26b59d;5aeb6b891099b95aa832;6457c6be7c6ba150ede6;654de90417901825feeb;67e2860b474712736027;681bba8e632d1614f426;68306d2649f0e34ccfa7;6ab002878664147423a1;6d85b580a0562cc121d4;73cb9769cd2180a04bb0;76597dc445d9df2ae743;7791c8951d81b4aa0b71;78b358c1b1f53fdbc100;7acd89712f3fc0bb4cb7;7bda59402c9478eda64c;7f735724143207af94c1;86d7e55b4cfd49b202f0;87dd3b9b5e7ef2d3f457;8a18fabf9cf9be3f8a36;8f2528d2ba0e05485210;9053eb63f4358c343310;94bb63aeb68eddb59442;94dc4442e5bc1f047433;9b5ff9099d241db5f86a;9ba2ceb3ea808e2794a1;9d0e015a74d4a026b092;a9588de788e2402350be;afa9fe102dc8ed9bfaff;b216d2e3bbb753147fd2;bad1f4fb855554cb4aba;c4f5fe90704c2aa68c75;c837d77a482b4e089619;d02cfb250e397dd52db5;d7a2412d7fe5f7bee1e5;d885762caf8919afe125;d90096afc3b383fbecb7;da8839d00c24db7f6ad6;df5127c0b752274d452e;e5814fecd144cc3fe016;e5b4ed028b3c0ea2eeec;eb8b75c75edacbfa547b;ebc2ea10b1b751d8e58c;ed80b78f8297d945224d;f2454b259920b1b1d032;f41f37dbb22b9ed8ae7c;f4631b37b9a1fd57d914;f97eadc969f29dc262e7;fb4436cacb550c46d347;fc535dce265384650ae6;fd0c4ec164cda596074b;sci_300870bf7109221baf28;sci_9353c3c154cbf1cd3c54,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,virtual patient + assessment or scoring,60,485,12.4,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,0835d7fde9c090ca963c;096c409373966ea99821;0a2c09d04e10e0478041;166aa3cc368ebd076b91;19e84bd61f0782eec51c;1a8a9f25ccdf589f88f6;1df5cdc0b4ba5e34b2ba;217a1796806e392c3e77;282aa7d3820de53059e9;31f58d5793ca1ef590ea;3a2d4841832fea8715fe;3e6c586541bbab277f12;44d09fb5dabfde2e9e31;48e2ce8734d9d1acb602;4f06f0d72a1de087b5c5;4f796e0ce90dce8d4da8;4ff984fed8d71f9ad381;50ac103890932b40242c;53e73c84997817856e1f;55c688efa556cdf3a77e;5da1c6c1e35204ff7f9d;5dd47cd1855294dcfafd;64a85483f87115653128;654de90417901825feeb;669cbda7d16ac3f32155;681bba8e632d1614f426;6e7213516f82875618ff;6f1527fb10827ca1da01;73cb9769cd2180a04bb0;758d651bc8d5020199f1;76597dc445d9df2ae743;7791c8951d81b4aa0b71;78b358c1b1f53fdbc100;7acd89712f3fc0bb4cb7;85b8ae635d7a78f669e0;8a18fabf9cf9be3f8a36;8ad0258644c0c312a7d8;9053eb63f4358c343310;987d3b654bc3d24dc464;9d0e015a74d4a026b092;adc1485c258278b24c4e;afc8c786ca5b65ba8c74;be9dea9f8b093b59c0c4;c2d6c7abc598aacc0368;c4f5fe90704c2aa68c75;c837d77a482b4e089619;caf55d1c5f0358791a96;d06c6ad96bb08eb739dc;d90096afc3b383fbecb7;da8839d00c24db7f6ad6;df5127c0b752274d452e;e5814fecd144cc3fe016;ea35181a48e801132195;ed80b78f8297d945224d;f2454b259920b1b1d032;f97eadc969f29dc262e7;fb4436cacb550c46d347;fc535dce265384650ae6;fd0c4ec164cda596074b;sci_9353c3c154cbf1cd3c54,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,medical or health-professions education + communication skills,59,485,12.2,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,00dc13a955ae4496d4ca;01a746b554d461cb998c;03345c1deb2aad29820e;0b386fbba1d6908a565d;0de698b6ef36192c9365;107a276748b6c98a2e50;116dd099707d378fb9a6;14e96fc7b4c3181fd39b;18f9eaf414ec69e25aad;1b087547ad0e2e8a3fa3;1b913a0ed3ab13c6f644;1c073acedd6171c3394d;1c5402a057ba8f451244;24c93ac0955292251f20;31f58d5793ca1ef590ea;3592795dfee0e066000a;37bb0c4c182653ebb8f9;38da855b4155bb083590;3a2d4841832fea8715fe;4252b0b43599d37a154a;44090e715310ee158f37;44d09fb5dabfde2e9e31;48a55d4cf5cff922481f;4c10642623772d392b58;4f796e0ce90dce8d4da8;50ac103890932b40242c;58483951ebaed609e26a;594d7ce86781a2e8398f;5b356113a239c62ba5ac;633dafafd7b2de3e7ad0;6457c6be7c6ba150ede6;668b98624eeda1089d99;73cb9769cd2180a04bb0;7442954006aac8fa63fa;81087c9bc5a7366ff084;862592293f46ff109fb6;86d7e55b4cfd49b202f0;86f76ce0ac18d03915b2;87dd3b9b5e7ef2d3f457;8a18fabf9cf9be3f8a36;8f2528d2ba0e05485210;8fa1ae6b843e2388520d;9053eb63f4358c343310;98c23d01b9fb23bd43c4;a4d746b41f7f88ceb127;a9588de788e2402350be;af9edf1f4c2a0c11a5eb;b3e39792f96130f4a0b4;ba402925b430558ae1e0;bad1f4fb855554cb4aba;cc3c546075dc11e58802;d885762caf8919afe125;d90096afc3b383fbecb7;df5127c0b752274d452e;eb6ba637fab26b824344;ed072d60d05f5e236143;f5c57c1a6cc5d054fcac;f74b171e97e291bab8d3;ff3b7f48f6f586cf90b7,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,medical or health-professions education + clinical reasoning,53,485,10.9,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,03345c1deb2aad29820e;07d462beafe4d21ba016;096c409373966ea99821;0a56637c161743569cf5;0c75f057197182777687;1b913a0ed3ab13c6f644;3592795dfee0e066000a;38da855b4155bb083590;44d09fb5dabfde2e9e31;47160b043b610b447eca;4823a4ac11c66c68a7d4;48e2ce8734d9d1acb602;4ff984fed8d71f9ad381;50ac103890932b40242c;538dc624d4f06d86f6a2;539c65e906ee41f3eabf;55c688efa556cdf3a77e;594d7ce86781a2e8398f;5c99d6be17d81210020f;6457c6be7c6ba150ede6;64947cabbe7282713c10;668b98624eeda1089d99;67e2860b474712736027;6d60da2f964efcc60587;6d85b580a0562cc121d4;73cb9769cd2180a04bb0;7791c8951d81b4aa0b71;78b358c1b1f53fdbc100;86d7e55b4cfd49b202f0;86f76ce0ac18d03915b2;9053eb63f4358c343310;91738aa3fb8146efb96d;9ba2ceb3ea808e2794a1;9d0e015a74d4a026b092;a2883a095e505041a802;a32c2fb665f05ef6086f;aedb9561df16d70a7ef8;b216d2e3bbb753147fd2;d02cfb250e397dd52db5;d3f99e099b9310de57e3;d6b29e9cea0c868cc28e;da4715a1835405ea02b7;db6b016a13edb570269a;e5814fecd144cc3fe016;e5b4ed028b3c0ea2eeec;eb6ba637fab26b824344;ed072d60d05f5e236143;ed80b78f8297d945224d;f2454b259920b1b1d032;f41f37dbb22b9ed8ae7c;f4631b37b9a1fd57d914;fb4436cacb550c46d347;ff3b7f48f6f586cf90b7,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,virtual patient + communication skills,48,485,9.9,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,01a746b554d461cb998c;0394426a6c4e7afe938e;0835d7fde9c090ca963c;0de698b6ef36192c9365;116dd099707d378fb9a6;1a1d7801effe1e2b850a;1b913a0ed3ab13c6f644;1c073acedd6171c3394d;217a1796806e392c3e77;31f58d5793ca1ef590ea;3592795dfee0e066000a;35ffd2cef7df5e4ea7fc;3a2d4841832fea8715fe;3a87ecbc1ceea37e2382;44d09fb5dabfde2e9e31;4c10642623772d392b58;4f06f0d72a1de087b5c5;4f796e0ce90dce8d4da8;50ac103890932b40242c;58483951ebaed609e26a;592d3957693502aad933;5b356113a239c62ba5ac;633dafafd7b2de3e7ad0;64a85483f87115653128;73cb9769cd2180a04bb0;7442954006aac8fa63fa;76a6c8049ee4223224f6;7b627eb0e17b77a07c57;81087c9bc5a7366ff084;862592293f46ff109fb6;86f76ce0ac18d03915b2;8a18fabf9cf9be3f8a36;8ad0258644c0c312a7d8;8db4130844dc8d367d1f;9053eb63f4358c343310;98c23d01b9fb23bd43c4;9b8b66d55c35b17e843c;a4d746b41f7f88ceb127;afc8c786ca5b65ba8c74;b191e9f77e079eab9ed3;b3a8d73bf08119c4ce68;b3e39792f96130f4a0b4;bd2cdf16f21f3814f67d;d0ead936020ec24f78a7;d90096afc3b383fbecb7;df5127c0b752274d452e;f74b171e97e291bab8d3;ff3b7f48f6f586cf90b7,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,standardized patient + medical or health-professions education,47,485,9.7,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,03345c1deb2aad29820e;038dc9e15385ce662149;0a25081e59bfa2406a89;1158803af3fb0ab9c072;14e96fc7b4c3181fd39b;18f9eaf414ec69e25aad;19e84bd61f0782eec51c;1c073acedd6171c3394d;24c93ac0955292251f20;27940ac9615817e019e3;2befb2019a25a1ea563f;302dee907e926e18ddba;32b43fcb025a9d77581f;3a2d4841832fea8715fe;432422a165ddc6a24c2f;53e73c84997817856e1f;548ca816901c7761f0bf;581dc0790951c1557bba;582bc7c400fa7acf214f;58483951ebaed609e26a;59ac00c951a84da39213;5aeb6b891099b95aa832;67e2860b474712736027;76597dc445d9df2ae743;766fde2e997ea8140bd0;7a9ca4d4d16f4705139f;7bda59402c9478eda64c;81087c9bc5a7366ff084;81e99943a71c35f1b5e2;86d7e55b4cfd49b202f0;86f76ce0ac18d03915b2;87dd3b9b5e7ef2d3f457;8ce5650fcd50af3976ab;98c23d01b9fb23bd43c4;9b5ff9099d241db5f86a;ba93136b38c9a66d059f;c837d77a482b4e089619;d3f99e099b9310de57e3;d90096afc3b383fbecb7;da4715a1835405ea02b7;df6dd96b9ea594a121ce;e5814fecd144cc3fe016;ebc2ea10b1b751d8e58c;ed80b78f8297d945224d;f41f37dbb22b9ed8ae7c;f4631b37b9a1fd57d914;f74b171e97e291bab8d3,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,simulated patient + medical or health-professions education,46,485,9.5,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,00dc13a955ae4496d4ca;01a746b554d461cb998c;038dc9e15385ce662149;04b48ce4dda567febfa2;0a25081e59bfa2406a89;0a56637c161743569cf5;0b386fbba1d6908a565d;0de698b6ef36192c9365;0fe5747ae7b23830be21;14e96fc7b4c3181fd39b;1c5402a057ba8f451244;24c93ac0955292251f20;296fc2ba93325a6b3ed0;34ea437817489bccb36b;37bb0c4c182653ebb8f9;432422a165ddc6a24c2f;4823a4ac11c66c68a7d4;4f796e0ce90dce8d4da8;50ac103890932b40242c;548ca816901c7761f0bf;58483951ebaed609e26a;594d7ce86781a2e8398f;59ac00c951a84da39213;668b98624eeda1089d99;6d85b580a0562cc121d4;73cb9769cd2180a04bb0;766d498375e7ceff4c70;81e99943a71c35f1b5e2;86d7e55b4cfd49b202f0;8fa1ae6b843e2388520d;98c23d01b9fb23bd43c4;9ba2ceb3ea808e2794a1;9d0e015a74d4a026b092;a32c2fb665f05ef6086f;ba402925b430558ae1e0;cfa4cceea1f21315935e;d977c356ff57ab060fef;da8839d00c24db7f6ad6;df5127c0b752274d452e;e2a36443154e9a33aff9;ed072d60d05f5e236143;f31767356a0db5360a3d;f41f37dbb22b9ed8ae7c;f4631b37b9a1fd57d914;f5e8d39c518465a0d255;fd0c4ec164cda596074b,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,virtual patient + clinical reasoning,44,485,9.1,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,0394426a6c4e7afe938e;07d462beafe4d21ba016;096c409373966ea99821;14a6c8b99daf76e8179d;1b913a0ed3ab13c6f644;217a1796806e392c3e77;2877ad2c6a928639280a;3592795dfee0e066000a;35ffd2cef7df5e4ea7fc;44d09fb5dabfde2e9e31;48e2ce8734d9d1acb602;4ff984fed8d71f9ad381;50ac103890932b40242c;538dc624d4f06d86f6a2;539c65e906ee41f3eabf;55c688efa556cdf3a77e;592d3957693502aad933;5dd47cd1855294dcfafd;64947cabbe7282713c10;6d60da2f964efcc60587;6e7213516f82875618ff;6f1527fb10827ca1da01;73cb9769cd2180a04bb0;7791c8951d81b4aa0b71;78b358c1b1f53fdbc100;86f76ce0ac18d03915b2;894f08a5035b3a1872d5;8db4130844dc8d367d1f;9053eb63f4358c343310;91738aa3fb8146efb96d;9d0e015a74d4a026b092;a2883a095e505041a802;aedb9561df16d70a7ef8;b3a8d73bf08119c4ce68;b608f772e32f2dbbff5e;d0ead936020ec24f78a7;d3f99e099b9310de57e3;da4715a1835405ea02b7;db6b016a13edb570269a;e5814fecd144cc3fe016;ed80b78f8297d945224d;f2454b259920b1b1d032;fb4436cacb550c46d347;ff3b7f48f6f586cf90b7,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,clinical reasoning + assessment or scoring,42,485,8.7,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,03345c1deb2aad29820e;096c409373966ea99821;0c75f057197182777687;217a1796806e392c3e77;38da855b4155bb083590;43800694173ba371af4f;44d09fb5dabfde2e9e31;4823a4ac11c66c68a7d4;48e2ce8734d9d1acb602;4fdab8147c5288a598e6;4ff984fed8d71f9ad381;50ac103890932b40242c;55c688efa556cdf3a77e;5dd47cd1855294dcfafd;643ef34d4dd326d5b164;6457c6be7c6ba150ede6;67e2860b474712736027;6d85b580a0562cc121d4;6e7213516f82875618ff;6f1527fb10827ca1da01;73cb9769cd2180a04bb0;7791c8951d81b4aa0b71;78b358c1b1f53fdbc100;7a5ffafc98c031b3684e;7ab76d429b6539b40243;86d7e55b4cfd49b202f0;9053eb63f4358c343310;9ba2ceb3ea808e2794a1;9d0e015a74d4a026b092;b216d2e3bbb753147fd2;d02cfb250e397dd52db5;e5814fecd144cc3fe016;e5b4ed028b3c0ea2eeec;eb664530dc232a9e1750;ed80b78f8297d945224d;f2454b259920b1b1d032;f41f37dbb22b9ed8ae7c;f4631b37b9a1fd57d914;f917e0b66cef158b9df0;fb4436cacb550c46d347;ffe994fbb4a27b100f16;sci_454fe3ad37947557e9a6,Descriptive same-work co-occurrence only.
