section,measure,category,numerator,denominator,estimate,ci_lower,ci_upper,ci_level,ci_method,denominator_definition,response_type,value_text,note
Selection flow,Retrieval occurrence by source,OpenAlex,2910,9719,29.9,,,,,all six-source retrieval occurrences before the Scopus cutoff check,single response by discovery source,percent of raw retrieval occurrences,Counts precede cross-source deduplication.
Selection flow,Retrieval occurrence by source,PubMed,722,9719,7.4,,,,,all six-source retrieval occurrences before the Scopus cutoff check,single response by discovery source,percent of raw retrieval occurrences,Counts precede cross-source deduplication.
Selection flow,Retrieval occurrence by source,Europe PMC,578,9719,5.9,,,,,all six-source retrieval occurrences before the Scopus cutoff check,single response by discovery source,percent of raw retrieval occurrences,Counts precede cross-source deduplication.
Selection flow,Retrieval occurrence by source,Semantic Scholar,2037,9719,21.0,,,,,all six-source retrieval occurrences before the Scopus cutoff check,single response by discovery source,percent of raw retrieval occurrences,Counts precede cross-source deduplication.
Selection flow,Retrieval occurrence by source,DOAJ,468,9719,4.8,,,,,all six-source retrieval occurrences before the Scopus cutoff check,single response by discovery source,percent of raw retrieval occurrences,Counts precede cross-source deduplication.
Selection flow,Retrieval occurrence by source,Scopus,3004,9719,30.9,,,,,all six-source retrieval occurrences before the Scopus cutoff check,single response by discovery source,percent of raw retrieval occurrences,Counts precede cross-source deduplication.
Selection flow,Stage count,Retrieval occurrences,9719,not applicable,,,,,,all six-source query occurrences before date and duplicate handling,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,Scopus results after the cutoff,150,not applicable,,,,,,Scopus occurrences published after 13 August 2026 and removed before matching,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,Primary-source results before or after the date window,8,not applicable,,,,,,"date flags found in the five-source retrieval; these records continued to duplicate handling and candidate screening, where the final date rule was applied",stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,Primary-source results with an unknown or unresolved date,17,not applicable,,,,,,date flags found in the five-source retrieval; these records continued to duplicate handling and candidate screening so that uncertain dates were not discarded automatically,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,Occurrences entering duplicate handling,9569,not applicable,,,,,,all five-source occurrences plus Scopus occurrences remaining after its cutoff check; this is not a claim that every primary-source occurrence was already date-eligible,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,Automatically merged duplicate occurrences,5179,not applicable,,,,,,within-source and cross-source records merged by fixed automatic identity rules,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,Records after automatic duplicate merging,4390,not applicable,,,,,,records after automatic duplicate handling,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,Separately confirmed same-record merges,10,not applicable,,,,,,additional identity matches confirmed separately,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,Unique bibliographic records after deduplication,4380,not applicable,,,,,,records after automatic and separately checked duplicate handling,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,Records outside the four-domain candidate frame,461,not applicable,,,,,,records not entering model review,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,Candidate records reviewed by both models,3919,not applicable,,,,,,all records receiving two independent decisions,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,Separate source checks: direct include/exclude decisions,477,not applicable,,,,,,directly different include/exclude decisions checked against available sources,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,Separate source checks: one or both decisions uncertain,84,not applicable,,,,,,records with at least one uncertain decision checked against available sources,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,Separate source checks: exclusion reason differed,525,not applicable,,,,,,agreed exclusions whose primary reason differed and was resolved,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,All separately resolved review records,1086,not applicable,,,,,,union of the three mutually exclusive review-resolution groups,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,Records excluded after resolution,3372,not applicable,,,,,,one final primary reason per excluded candidate,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,Eligible publication records,547,not applicable,,,,,,eligible records before publication-version consolidation,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,Alternate publication versions,62,not applicable,,,,,,eligible publication records linked to another report of the same scholarly work,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Selection flow,Stage count,Canonical unique works,485,not applicable,,,,,,one preferred publication per reviewed work family,stage-specific count; side checks are not serial losses,,Counts use the stated stage-specific unit.
Model-review agreement,Raw agreement,Three-choice include/exclude/uncertain,3368,3919,0.859402908905333,0.8481676397684571,0.8699342844543133,0.95,Wilson,all candidate records before resolution,paired model-review decisions,,Consistency between two model reviews; no human reference standard.
Model-review agreement,Cohen kappa,Three-choice include/exclude/uncertain,not applicable,3919,0.5648719644477116,0.5343129173355504,0.5945172294530251,0.95,"Paired-record percentile bootstrap; 10,000 replicates; seed 2026081306",all candidate records before resolution,paired model-review decisions,,Undefined bootstrap replicates: 0.
Model-review agreement,Raw agreement,Binary include versus non-include,3418,3919,0.872161265628987,0.8613414087997168,0.8822522415225486,0.95,Wilson,all candidate records before resolution,paired model-review decisions,,Consistency between two model reviews; no human reference standard.
Model-review agreement,Cohen kappa,Binary include versus non-include,not applicable,3919,0.5797016754186941,0.5484298645156634,0.6101217337786027,0.95,"Paired-record percentile bootstrap; 10,000 replicates; seed 2026081306",all candidate records before resolution,paired model-review decisions,,Undefined bootstrap replicates: 0.
